Loading required package: ICAMS
Loading required package: hdpx
Loading required package: mSigHdp
args: 


===========================================


Begin running mSigHdp on data set Realistic using seed 200437...



===========================================


60 samples in SP.Syn.Breast-AdenoCA
60 samples in SP.Syn.ColoRect-AdenoCA
60 samples in SP.Syn.Eso-AdenoCA
60 samples in SP.Syn.Kidney-RCC
59 samples in SP.Syn.Liver-HCC
60 samples in SP.Syn.Lung-AdenoCA
58 samples in SP.Syn.Ovary-AdenoCA
60 samples in SP.Syn.Skin-Melanoma
60 samples in SP.Syn.Stomach-AdenoCA
60 samples in SP.Syn.Breast-AdenoCA
60 samples in SP.Syn.ColoRect-AdenoCA
60 samples in SP.Syn.Eso-AdenoCA
60 samples in SP.Syn.Kidney-RCC
59 samples in SP.Syn.Liver-HCC
60 samples in SP.Syn.Lung-AdenoCA
58 samples in SP.Syn.Ovary-AdenoCA
60 samples in SP.Syn.Skin-Melanoma
60 samples in SP.Syn.Stomach-AdenoCA
60 samples in SP.Syn.Breast-AdenoCA
60 samples in SP.Syn.ColoRect-AdenoCA
60 samples in SP.Syn.Eso-AdenoCA
60 samples in SP.Syn.Kidney-RCC
59 samples in SP.Syn.Liver-HCC
60 samples in SP.Syn.Lung-AdenoCA
58 samples in SP.Syn.Ovary-AdenoCA
60 samples in SP.Syn.Skin-Melanoma
60 samples in SP.Syn.Stomach-AdenoCA
60 samples in SP.Syn.Breast-AdenoCA
60 samples in SP.Syn.ColoRect-AdenoCA
60 samples in SP.Syn.Eso-AdenoCA
60 samples in SP.Syn.Kidney-RCC
59 samples in SP.Syn.Liver-HCC
60 samples in SP.Syn.Lung-AdenoCA
58 samples in SP.Syn.Ovary-AdenoCA
60 samples in SP.Syn.Skin-Melanoma
60 samples in SP.Syn.Stomach-AdenoCA
60 samples in SP.Syn.Breast-AdenoCA
60 samples in SP.Syn.ColoRect-AdenoCA
60 samples in SP.Syn.Eso-AdenoCA
60 samples in SP.Syn.Kidney-RCC
59 samples in SP.Syn.Liver-HCC
60 samples in SP.Syn.Lung-AdenoCA
58 samples in SP.Syn.Ovary-AdenoCA
60 samples in SP.Syn.Skin-Melanoma
60 samples in SP.Syn.Stomach-AdenoCA
60 samples in SP.Syn.Breast-AdenoCA
60 samples in SP.Syn.ColoRect-AdenoCA
60 samples in SP.Syn.Eso-AdenoCA
60 samples in SP.Syn.Kidney-RCC
59 samples in SP.Syn.Liver-HCC
60 samples in SP.Syn.Lung-AdenoCA
58 samples in SP.Syn.Ovary-AdenoCA
60 samples in SP.Syn.Skin-Melanoma
60 samples in SP.Syn.Stomach-AdenoCA
60 samples in SP.Syn.Breast-AdenoCA
60 samples in SP.Syn.ColoRect-AdenoCA
60 samples in SP.Syn.Eso-AdenoCA
60 samples in SP.Syn.Kidney-RCC
59 samples in SP.Syn.Liver-HCC
60 samples in SP.Syn.Lung-AdenoCA
58 samples in SP.Syn.Ovary-AdenoCA
60 samples in SP.Syn.Skin-Melanoma
60 samples in SP.Syn.Stomach-AdenoCA
60 samples in SP.Syn.Breast-AdenoCA
60 samples in SP.Syn.ColoRect-AdenoCA
60 samples in SP.Syn.Eso-AdenoCA
60 samples in SP.Syn.Kidney-RCC
59 samples in SP.Syn.Liver-HCC
60 samples in SP.Syn.Lung-AdenoCA
58 samples in SP.Syn.Ovary-AdenoCA
60 samples in SP.Syn.Skin-Melanoma
60 samples in SP.Syn.Stomach-AdenoCA
60 samples in SP.Syn.Breast-AdenoCA
60 samples in SP.Syn.ColoRect-AdenoCA
60 samples in SP.Syn.Eso-AdenoCA
60 samples in SP.Syn.Kidney-RCC
59 samples in SP.Syn.Liver-HCC
60 samples in SP.Syn.Lung-AdenoCA
58 samples in SP.Syn.Ovary-AdenoCA
60 samples in SP.Syn.Skin-Melanoma
60 samples in SP.Syn.Stomach-AdenoCA
60 samples in SP.Syn.Breast-AdenoCA
60 samples in SP.Syn.ColoRect-AdenoCA
60 samples in SP.Syn.Eso-AdenoCA
60 samples in SP.Syn.Kidney-RCC
59 samples in SP.Syn.Liver-HCC
60 samples in SP.Syn.Lung-AdenoCA
58 samples in SP.Syn.Ovary-AdenoCA
60 samples in SP.Syn.Skin-Melanoma
60 samples in SP.Syn.Stomach-AdenoCA
60 samples in SP.Syn.Breast-AdenoCA
60 samples in SP.Syn.ColoRect-AdenoCA
60 samples in SP.Syn.Eso-AdenoCA
60 samples in SP.Syn.Kidney-RCC
59 samples in SP.Syn.Liver-HCC
60 samples in SP.Syn.Lung-AdenoCA
58 samples in SP.Syn.Ovary-AdenoCA
60 samples in SP.Syn.Skin-Melanoma
60 samples in SP.Syn.Stomach-AdenoCA
60 samples in SP.Syn.Breast-AdenoCA
60 samples in SP.Syn.ColoRect-AdenoCA
60 samples in SP.Syn.Eso-AdenoCA
60 samples in SP.Syn.Kidney-RCC
59 samples in SP.Syn.Liver-HCC
60 samples in SP.Syn.Lung-AdenoCA
58 samples in SP.Syn.Ovary-AdenoCA
60 samples in SP.Syn.Skin-Melanoma
60 samples in SP.Syn.Stomach-AdenoCA
60 samples in SP.Syn.Breast-AdenoCA
60 samples in SP.Syn.ColoRect-AdenoCA
60 samples in SP.Syn.Eso-AdenoCA
60 samples in SP.Syn.Kidney-RCC
59 samples in SP.Syn.Liver-HCC
60 samples in SP.Syn.Lung-AdenoCA
58 samples in SP.Syn.Ovary-AdenoCA
60 samples in SP.Syn.Skin-Melanoma
60 samples in SP.Syn.Stomach-AdenoCA
60 samples in SP.Syn.Breast-AdenoCA
60 samples in SP.Syn.ColoRect-AdenoCA
60 samples in SP.Syn.Eso-AdenoCA
60 samples in SP.Syn.Kidney-RCC
59 samples in SP.Syn.Liver-HCC
60 samples in SP.Syn.Lung-AdenoCA
58 samples in SP.Syn.Ovary-AdenoCA
60 samples in SP.Syn.Skin-Melanoma
60 samples in SP.Syn.Stomach-AdenoCA
60 samples in SP.Syn.Breast-AdenoCA
60 samples in SP.Syn.ColoRect-AdenoCA
60 samples in SP.Syn.Eso-AdenoCA
60 samples in SP.Syn.Kidney-RCC
59 samples in SP.Syn.Liver-HCC
60 samples in SP.Syn.Lung-AdenoCA
