Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (False Positive) (ID5 0.808),ID83D (ID8 0.991),ID83E (ID3 0.978),ID83F (ID13 0.972),ID83G (ID6 0.998),ID83H (ID9 0.995),ID83I (ID4 0.988),ID83J (ID14 0.986)
DEL,C,1,0,0.00220043,9.9e-07,0.00343732,0.02954744,0.0862835,0.00419998,0.02300372,0.37293893,0.0113017,0.00300347
DEL,C,1,1,9e-08,1.937e-05,0.0039216,0.01936473,0.23184844,0.00546321,0.00144763,0.09531599,0.00069007,0.00011301
DEL,C,1,2,0,0,0.00398424,0,0.2120493,0.00851676,0.00379707,0,0.00144316,0
DEL,C,1,3,0.00213092,0.00172557,0.00867429,0.00486897,0.07525558,0.00577455,2.795e-05,0.01052325,0.00153779,0.00047721
DEL,C,1,4,0.00334734,0.00045634,0.00387443,0.0006817,0.04430548,0.00045017,0.00166532,0.01424041,0.00285888,0.00135208
DEL,C,1,5+,0.01436514,0.00181148,0.01217028,0.00160296,0.02629898,0.0002809,0.001025,0.0002778,0.00532569,0.00354563
DEL,T,1,0,0.00539103,0.00081768,0.11221595,0.03359405,0.02396613,0.07386486,0.00046837,0.11750385,0.00584409,0.01600498
DEL,T,1,1,0,0,0.00444677,0.00210122,0.00345354,0.38150484,7.8e-07,0.00820033,0.00876343,1e-08
DEL,T,1,2,0.00632344,6.377e-05,0.12752106,0.00387179,0.00311608,0.07221822,0.00802776,0.08864717,0.00193123,0.00529323
DEL,T,1,3,0.01769791,0.00132823,0.10462413,0.00294699,0.00310265,0.07559762,0.01958117,0.11655078,0.00687064,0.01265347
DEL,T,1,4,0.03992963,0.00261726,0.11041033,0.00414752,0.00281087,0.02322026,0.01404869,0.10568154,0.01377572,0.00987971
DEL,T,1,5+,0.84129279,0.00031066,0.01086215,0.00034595,0.00084223,0.00203141,0.00015993,0.00972385,0.00080088,0.06125197
INS,C,1,0,0,0,2e-08,1.3e-07,1.4e-07,6e-08,2e-08,2.2e-07,1e-07,0.52571245
INS,C,1,1,0.00019774,2.48e-06,0.00720729,0.00206704,0.00511791,0.00339266,0.0013916,0,2.57e-05,0.0141668
INS,C,1,2,1.511e-05,1.49e-06,0.00569288,0.00156026,0.00376134,0.00356833,2.07e-05,8.3e-07,2.307e-05,0.00048792
INS,C,1,3,0.00035955,0.00070656,0.00176097,0.00025045,0.00850704,0.00041593,0,6.33e-06,0.00085034,0.00072357
INS,C,1,4,0.00252949,0.0012011,0.00412681,0.00065208,0.00815629,8.54e-06,0.00025019,0.00010065,0.00102035,0.00070568
INS,C,1,5+,0.00697511,0.0192844,0.03074309,0.00728011,0.00825487,2.65e-06,1.945e-05,0.00013384,0.00764918,0.00232878
INS,T,1,0,0.00097274,0.00220019,0.00228159,0.0035552,0.01715235,0.0220517,0.00628435,0.01414156,0.00471182,0.03835118
INS,T,1,1,1.8e-07,1.76e-06,0.01110896,0.0039756,0.06443126,0.01179473,0.00016,0.00519124,0.00019744,0.00284856
INS,T,1,2,0.00044976,8.23e-06,0.03121757,0.00017948,0.05527647,0.01732817,0,5.59e-06,0.00018223,0.00129718
