Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID5 0.994),hdp.2 (ID13 0.998),hdp.3 (ID6 0.996),hdp.4 (ID2 1),hdp.5 (False Positive) (ID5 0.913),hdp.6 (ID3 0.976),hdp.7 (ID1 1),hdp.8 (ID9 1),hdp.9 (ID4 0.993),hdp.10 (ID14 0.978),hdp.11 (ID8 0.987),hdp.12 (ID11 0.977),hdp.13 (False Positive) (ID5 0.368),hdp.14 (False Positive) (ID5 0.918),hdp.15 (False Positive) (ID5 0.126),hdp.16 (False Positive) (ID3 0.934)
DEL,C,1,0,0.0237446344629736,0.0459276616389157,0.0305429143772452,0.00409412442785514,0.0151466276157392,0.136465582386399,0.000483090541968817,0.333895697871889,0.0118057368021057,0.010432420979593,0.034229214681737,0.0081777303999203,0.0216017881869007,0.0189299960057974,0.00332415426813442,0.0666908416705549
DEL,C,1,1,0.0264128782221263,0.0157891769367102,0.00614592675258005,4.15146338865474e-05,0.0327248755533794,0.152687172340139,0.000571554023689722,0.0976399597143449,0.00226733194432465,0.00245981104427215,0.0196375238608708,0.00904848352316054,0.00717687951461591,0.0290316490564427,0.00412637190435621,0.320728711609591
DEL,C,1,2,0.0287051047932297,0.00746659103314115,0.00838317520737419,3.87369187147202e-06,0.0219334520973431,0.214481564841449,6.92822791223647e-06,0.00239821336186143,0.00319485207795701,0.000368217744805877,0.00268713298388953,0.00288249695591099,0.0186958899037433,0.026473186862716,0.000129402005656289,0.134878753543223
DEL,C,1,3,0.0128003861137765,0.00565427288564765,0.000856891526249953,0.00230623716343449,0.0123250019508734,0.0705321955257216,0.00185640055283052,0.0109239357065767,0.00161945798892119,0.000832483342768296,0.00569492542291307,0.00224190229358221,0.0155975704983651,0.0154199014779349,0.0139348382362731,0.05528109380856
DEL,C,1,4,0.00312109837881824,0.00406157033448266,0.00260520070641871,0.00342138305394586,0.00139922375390194,0.0432059700787191,0.000781591330825921,0.0130328845385951,0.00248595726016509,0.0018434147864826,0.00110777177330587,0.00326773544930825,0.00904907751066591,0.00361856127701279,0.00637847169499424,0.0402925445084542
DEL,C,1,5+,0.00220161750148354,0.00160911217269311,0.00188084020358278,0.0137063196419767,0.00159086687953318,0.025498813026291,0.00267785645112856,0.000654638865063963,0.00225863412680522,0.00342770004029028,0.000599573582004547,0.000740467993495321,0.0286842094576511,0.00338597834724276,0.0205466823345319,0.0219904588446626
DEL,T,1,0,0.0877155285515214,0.037959554576768,0.00267343244158293,0.00652539600000366,0.0685718122872992,0.0286425767665323,0.00139198902431257,0.106042563434484,0.00757781090242837,0.0195557010751205,0.0291481154435752,0.0168113468635925,0.023225324021538,0.193888131528135,0.0107791683714571,0.0347366513980411
DEL,T,1,1,0.11103480202919,0.502118910553499,0.000833096441218729,3.91201273509597e-06,0.0916758900085501,0.00839340116147335,8.30484290036166e-06,0.0388890016755793,0.00326227150871193,0.000570893947587555,0.0108660129912975,0.00953173796782588,0.0101728969703659,0.075705104072067,0.000109580311148245,0.0205862472437713
DEL,T,1,2,0.107032431165024,0.0191400933782098,0.00957681275026338,0.00689173141254858,0.21011795914119,0.0112699130900638,0.000319387892748931,0.0847126495781296,0.00544946251874455,0.00814194934037706,0.00906518569353777,0.0207135006276154,0.0248089737779353,0.086316377960472,0.0120243821802218,0.00843977601436307
DEL,T,1,3,0.105566724955192,0.0545645310498972,0.0213752046668465,0.0173246730298315,0.0604006855830637,0.0155822429404791,0.0020989920512059,0.106151525477695,0.00618271122559086,0.0158364507201747,0.0102549831798148,0.00605116468461107,0.0414502578048071,0.0741939096270116,0.0113581114487864,0.00981740132382324
