"sig_id","active_tumors","sig_prop","missed_by_sigpro","missed_by_msighdp"
"SBS5",508,0.940740740740741,TRUE,FALSE
"SBS1",502,0.92962962962963,FALSE,FALSE
"SBS40",204,0.377777777777778,FALSE,FALSE
"SBS2",180,0.333333333333333,FALSE,FALSE
"SBS13",177,0.327777777777778,FALSE,FALSE
"SBS18",156,0.288888888888889,FALSE,FALSE
"SBS17a",108,0.2,FALSE,FALSE
"SBS17b",107,0.198148148148148,FALSE,FALSE
"SBS3",105,0.194444444444444,FALSE,FALSE
"SBS4",57,0.105555555555556,FALSE,FALSE
"SBS7d",53,0.0981481481481482,FALSE,FALSE
"SBS7a",52,0.0962962962962963,FALSE,TRUE
"SBS7b",51,0.0944444444444444,FALSE,TRUE
"SBS7c",47,0.087037037037037,FALSE,FALSE
"SBS12",36,0.0666666666666667,TRUE,FALSE
"SBS29",23,0.0425925925925926,TRUE,FALSE
"SBS41",17,0.0314814814814815,TRUE,FALSE
"SBS16",13,0.0240740740740741,TRUE,FALSE
"SBS44",11,0.0203703703703704,FALSE,FALSE
"SBS28",9,0.0166666666666667,FALSE,FALSE
"SBS38",5,0.00925925925925926,TRUE,FALSE
"SBS22",3,0.00555555555555556,TRUE,FALSE
"SBS35",3,0.00555555555555556,TRUE,TRUE
