Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (False Positive) (ID5 0.792),ID83D (ID8 0.991),ID83E (ID3 0.979),ID83F (ID13 0.964),ID83G (ID6 0.999),ID83H (ID9 0.995),ID83I (ID4 0.989),ID83J (ID14 0.986)
DEL,C,1,0,0.00218702,3.37e-06,0.00229653,0.02956796,0.08681746,0.00392805,0.02358345,0.3715714,0.01258252,0.0028574
DEL,C,1,1,0,3.212e-05,0.00322453,0.0188808,0.23200223,0.00556535,0.00161019,0.09517813,0.00067951,9.279e-05
DEL,C,1,2,0,0,0.00335257,7.549e-05,0.21195122,0.00818138,0.00360797,0,0.0013689,0
DEL,C,1,3,0.00204548,0.00180134,0.0088857,0.00522692,0.07496326,0.00606347,6.732e-05,0.0104075,0.00088047,0.0005533
DEL,C,1,4,0.00320675,0.00048726,0.00534824,0.00105929,0.0441426,0.00031283,0.00163472,0.01422248,0.00218236,0.00132089
DEL,C,1,5+,0.01411518,0.00188325,0.01624327,0.00264017,0.0261764,0.00024416,0.00093674,0.00022788,0.00254638,0.00356702
DEL,T,1,0,0.00505917,0.00084201,0.10770799,0.03421231,0.02428125,0.07784691,0.00084025,0.11760748,0.00486395,0.01644053
DEL,T,1,1,0,0,0.00447957,0.01045776,0.00348814,0.35754754,2.151e-05,0.00814225,0.01005887,5.06e-06
DEL,T,1,2,0.0061179,5.576e-05,0.12051099,0.00452828,0.00319945,0.07748694,0.00791461,0.09060014,0.00179246,0.00549044
DEL,T,1,3,0.01663618,0.00121451,0.10706187,0.00609569,0.00325027,0.0786919,0.01909815,0.1158081,0.00514933,0.01287713
DEL,T,1,4,0.0365199,0.00244708,0.1366366,0.00887314,0.00262547,0.02465327,0.01370839,0.10517252,0.00524532,0.01040363
DEL,T,1,5+,0.84942602,0.00035755,0.01180124,0.0003315,0.00080397,0.00284853,0.0001595,0.01022879,0.00039327,0.06040215
INS,C,1,0,0,0,2.6e-07,1.2e-07,1.4e-07,6e-08,2e-08,2.2e-07,1.1e-07,0.53020249
INS,C,1,1,0.00018906,3.84e-06,0.00748429,0.0019754,0.00488061,0.00340026,0.00140969,0,2.268e-05,0.01445937
INS,C,1,2,1.602e-05,1.42e-06,0.00546256,0.00158477,0.00379318,0.00399448,3.28e-05,1.138e-05,2.182e-05,0.00051226
INS,C,1,3,0.00035213,0.00075227,0.00173443,0.00028663,0.0085844,0.00040111,0,3.77e-06,0.00074122,0.00076949
