Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.94),ID83D (ID8 0.991),ID83E (ID3 0.984),ID83F (ID6 0.998),ID83G (ID9 0.993),ID83H (ID4 0.987),ID83I (ID14 0.989)
DEL,C,1,0,0.00217108,4.07e-06,0.00478812,0.03202926,0.09267533,0.02513065,0.35070816,0.01556394,0.00320392
DEL,C,1,1,7.9e-07,1.826e-05,0.00719407,0.01926652,0.22582528,0.00214917,0.09074676,0.00107951,9.817e-05
DEL,C,1,2,0,0,0.00907853,0.00133458,0.20052308,0.00337931,0.00056313,0.00130688,0
DEL,C,1,3,0.00239652,0.00201151,0.00699004,0.00551562,0.07282962,0.00015594,0.01046751,0.00107586,0.00054048
DEL,C,1,4,0.00370377,0.00065538,0.00022214,0.00101911,0.04286369,0.0016312,0.01427806,0.00240672,0.00129054
DEL,C,1,5+,0.01551303,0.00255906,0.00014667,0.0018699,0.02561724,0.00095004,0.00091487,0.00285645,0.00350515
DEL,T,1,0,0.00674262,0.00160156,0.11020429,0.04283247,0.02946888,0.00206293,0.11482487,0.00640342,0.0162591
DEL,T,1,1,0,0,0.20402226,0.02240218,0.00301711,7.438e-05,0.00530596,0.02027688,1.868e-05
DEL,T,1,2,0.00731364,0.00032382,0.12474201,0.01681826,0.007602,0.00853812,0.08683845,0.00303159,0.00597169
DEL,T,1,3,0.02024748,0.00205628,0.10051862,0.01374954,0.00753549,0.01942804,0.11318554,0.00713558,0.01283682
DEL,T,1,4,0.04728448,0.00448533,0.04829726,0.00892983,0.00698274,0.0144844,0.10827448,0.00765271,0.01070007
DEL,T,1,5+,0.81666191,0.00051082,0.00397284,0.00064052,0.00109181,3.496e-05,0.01149823,0.00114225,0.06479286
INS,C,1,0,0,0,5e-08,1.1e-07,1.4e-07,2e-08,1.8e-07,1.3e-07,0.5114906
INS,C,1,1,0.00022501,4.42e-06,0.00583924,0.00259794,0.00637879,0.00142442,0.00032346,0.00012314,0.01401853
INS,C,1,2,2.326e-05,3.46e-06,0.00554975,0.00221184,0.00407597,5.937e-05,0.0002618,9.965e-05,0.00048996
INS,C,1,3,0.00041767,0.00079171,0.00057687,0.0003439,0.00855397,0,0.00014205,0.00068466,0.00072685
