Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.982),ID83D (ID8 0.988),ID83E (ID3 0.992),ID83F (ID6 0.999),ID83G (ID9 0.995),ID83H (ID14 1),ID83I (ID4 0.995)
DEL,C,1,0,0.00361304,2.334e-05,0.00519009,0.04397337,0.10246494,0.03259014,0.31101881,0.0072821,0.01407361
DEL,C,1,1,4.82e-06,0.0004541,0.00779295,0.02307082,0.21457995,0.00389828,0.09248212,0.00017152,0.00337192
DEL,C,1,2,0,0,0.01053903,0.00090264,0.19017065,0.00573847,0.00073753,4.35e-06,0.00111824
DEL,C,1,3,0.00278153,0.00203735,0.00858051,0.00508629,0.06833011,0.00045411,0.01034384,0.00018394,0.00102387
DEL,C,1,4,0.00388919,0.00067139,0.00011299,0.00063714,0.0430674,0.00177568,0.01226746,0.0016979,0.00126394
DEL,C,1,5+,0.01476426,0.00354236,0.00033157,0.0005571,0.02335042,0.00079559,0.00047606,0.00238545,0.00216892
DEL,T,1,0,0.00766404,0.00125888,0.11343587,0.04096432,0.03520453,0.00474067,0.09908791,0.0178387,0.0064598
DEL,T,1,1,0,0,0.13318652,0.06190801,0.00611179,0.00011322,0.05492374,9.13e-06,0.03445686
DEL,T,1,2,0.00675823,0.00107218,0.13230626,0.01141523,0.01483776,0.01179188,0.07945762,0.01067104,0.00100202
DEL,T,1,3,0.01979506,0.00221737,0.10224245,0.01464198,0.01331426,0.02249303,0.10741695,0.0168854,0.00271559
DEL,T,1,4,0.04637592,0.00421155,0.05698004,0.00355331,0.01068551,0.01757152,0.08692793,0.01338871,0.00129648
DEL,T,1,5+,0.81335663,0.00042739,0.01398428,0.00222418,0.00572715,0.00086575,0.03185222,0.04819753,0.00158789
INS,C,1,0,0,1e-08,5e-08,3.23e-06,3.3e-07,2.88e-06,1.05e-06,0.46504933,1e-07
INS,C,1,1,0.00017903,2e-08,0.00677442,0.00147727,0.00629724,0.00162274,0.00243019,0.01198223,4.249e-05
INS,C,1,2,1.116e-05,0,0.00634385,0.00133488,0.00468497,4.097e-05,0.0019039,0.00044207,1.033e-05
INS,C,1,3,0.00060506,0.00054299,0.00059612,5.335e-05,0.00846401,0,0.00050655,0.00162366,0.00020264
