Type,Subtype,Indel_size,Repeat_MH_size,signeR.1 (ID2 1),signeR.2 (ID1 1),signeR.3 (False Positive) (ID2 1),signeR.4 (ID5 0.984),signeR.5 (ID8 0.999),signeR.6 (ID3 0.998),signeR.7 (ID6 1),signeR.8 (ID14 0.999),signeR.9 (ID9 0.999),signeR.10 (ID4 0.992)
DEL,C,1,0,0.004913181405988,6.79249502278012e-07,0.00399023693499685,0.0251359360952043,0.0428763682455079,0.114598517466547,0.0335057016926266,0.00911223817925293,0.352665637165967,0.0138270271891236
DEL,C,1,1,1.60643029229573e-05,0.000645872288209184,8.18295329011107e-06,0.0235150706840759,0.0226855120837669,0.20458578634039,0.00587814209810524,0.000855297366125122,0.103790851560248,0.00238900191051263
DEL,C,1,2,8.07722507962843e-07,4.26372499614579e-07,2.23932406993479e-06,0.0210261308099852,0.00133879946467316,0.174127674737779,0.00747196445873019,0.000306262764409763,3.47914525242026e-05,0.000430236110285246
DEL,C,1,3,0.00244394048068542,0.00193578320599098,0.00251812072464982,0.0118953813301134,0.00460925183061826,0.0634754606778287,0.000997701010902731,0.000292661205435363,0.0107109670982133,0.000459135148648133
DEL,C,1,4,0.00386156624992649,0.000688123898209387,0.00373383301787404,0.00259659603713659,0.000258597232125161,0.042133845295108,0.00247855660526967,0.00185046416638826,0.0133564104851998,0.00125922796282937
DEL,C,1,5+,0.0145341063325763,0.00359462476396188,0.0146361309440555,0.00187481426790119,0.000105533197876114,0.0219347978356177,0.00118170854020425,0.00239344868304258,1.60267252411359e-05,0.00209476267953653
DEL,T,1,0,0.00793358764529258,0.00112086008384833,0.00780336484298147,0.0969119077999392,0.0333355666483728,0.0391560897826944,0.00495163101179772,0.0175692270011225,0.110809851935439,0.00525794699706283
DEL,T,1,1,6.73818797356447e-07,3.73592315770474e-07,1.94905137973952e-06,0.147106772210791,0.00730594663802262,0.00578542075848489,2.18254408093773e-05,0.000123331351605515,0.0337816081343873,0.0414119822736855
DEL,T,1,2,0.00703011986439721,0.000859281498613811,0.00695461377457317,0.105578857320066,0.00684430668600993,0.0198085161918481,0.0123801008184813,0.0105327570539503,0.0911316276608465,8.95810923315308e-05
DEL,T,1,3,0.0202707348991089,0.00208601447626172,0.0201003653824363,0.086885159881406,0.00805694172236953,0.0204050609064578,0.0233504397551416,0.0167704480702826,0.118748084460945,0.00075518529730805
DEL,T,1,4,0.0471498956617679,0.00418363416617174,0.0470005033493087,0.0486550722112487,4.07565258066887e-06,0.0165577652867721,0.0187971638257963,0.0135660992532234,0.100597743243206,0.00024058834563033
DEL,T,1,5+,0.816268778510427,1.33522221036777e-06,0.811967323015821,0.0234675128392164,0.00442906268067283,0.00834885524246104,0.00724760777563727,0.0477173809408604,5.19215613562278e-05,0.000157416163843965
INS,C,1,0,6.53967862980687e-07,3.48907003318652e-07,2.25910953609527e-06,0.000561503013989992,0.00271165228860668,0.00195583917385191,0.00184207661462127,0.444561422708376,8.79043633249924e-06,0.000171713895665897
INS,C,1,1,0.000257259284653574,6.86679918919938e-07,1.08013921049717e-05,0.00568263907640783,0.00183308158424947,0.00577733432430395,0.0015341108472837,0.0117039974563763,8.07709988877469e-06,6.37111252666576e-05
INS,C,1,2,2.10012568625698e-05,4.65204268025771e-07,1.05569977685689e-05,0.00545883932726551,0.00111006601834229,0.00415677508707338,1.30167688578111e-05,0.000428201911925177,7.17897679506344e-06,4.28626103958062e-05
INS,C,1,3,0.000494935231130261,0.000632432202446527,0.000350409172439868,0.00103828589154574,1.35560167612628e-06,0.00764278991265065,8.25813636587367e-06,0.00161765114407245,6.30436086953761e-06,0.000122311947620708
INS,C,1,4,0.00293750954871621,0.00164694631260073,0.00296436946026468,0.000112956992768737,2.7435587150901e-06,0.00772184811809042,0.00010334291283524,0.00165169163136102,8.94867325827802e-06,4.57316301464437e-05
INS,C,1,5+,0.00886189823262235,0.0245778270081677,0.0093562513907441,6.30553343186745e-06,1.19163572525913e-05,0.00736416666438702,3.43331524099303e-05,0.0029016899465379,1.46210187013115e-05,0.00026970357820606
INS,T,1,0,0.00135638743746882,0.00218979797135632,0.00119786615675616,0.0107544779671214,0.00468770882425262,0.0150407592018373,0.00604678117747433,0.0312283402259063,0.011072131406589,0.00489560037717847
INS,T,1,1,3.46991050358347e-06,7.89552674989084e-07,3.56663322237546e-06,0.0186142689219024,0.00425256656562047,0.0537929300611661,0.000477302383065626,0.00257164464279015,0.00904063291530526,0.000101455807731698
INS,T,1,2,0.000714246882222557,5.72555925208166e-06,0.000515517708940291,0.0298607386118426,2.02950745076444e-05,0.046910816809668,0.000237921223415587,0.00173179635863639,0.000459167613446435,5.65978583717181e-05
