Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 0.999),ID83B (ID1 1),ID83C (False Positive) (ID5 0.88),ID83D (ID8 0.99),ID83E (ID3 0.977),ID83F (ID6 0.998),ID83G (ID13 0.989),ID83H (ID9 0.993),ID83I (False Positive) (ID1 0.369),ID83J (ID4 0.991),ID83K (ID14 0.98)
DEL,C,1,0,0.00208692,4.9e-07,0.00115982,0.02817129,0.08674989,0.02187112,0.00241133,0.38411631,0.00409833,0.00840265,0.00327183
DEL,C,1,1,0,1.894e-05,0.00773656,0.01949632,0.23679346,0.00105354,0.00373408,0.09704935,0.00029327,0.00057802,6.379e-05
DEL,C,1,2,0,0,0.00888792,0,0.21643396,0.00383467,0.00761567,0,0,0.00150621,0
DEL,C,1,3,0.00166229,0.00137485,0.00830597,0.00513335,0.07667429,2.145e-05,0.00486794,0.00991834,0.010946,0.00111252,0.00057598
DEL,C,1,4,0.00228666,0.00013959,0.00026788,0.00061933,0.04550947,0.00163965,0.0005706,0.01379396,0.01480185,0.00191496,0.00144561
DEL,C,1,5+,0.0111893,0.0006012,0.00110746,0.00125807,0.02661262,0.00087785,0.00016482,6.226e-05,0.04568039,0.00247853,0.0036939
DEL,T,1,0,0.00330136,0.00032833,0.14513515,0.03338302,0.02092526,0.00018124,0.04852165,0.1198717,0.03089446,0.00630703,0.01662888
DEL,T,1,1,0,2e-08,0.01071172,0.00026422,0.00435727,5.42e-06,0.5252728,0.00320482,5e-08,0.00351349,1e-08
DEL,T,1,2,0.00531537,4.57e-06,0.17531704,0.00272128,0.00034548,0.00754243,0.03331598,0.09331189,0.01562154,0.003515,0.0057719
DEL,T,1,3,0.01327438,0.0005026,0.12132601,0.00183984,0.00098757,0.0191184,0.0614543,0.1168828,0.06165217,0.00430142,0.01343509
DEL,T,1,4,0.02354415,6.237e-05,0.07131264,0.00039123,0.00069286,0.01324277,0.00806515,0.10033475,0.20391821,0.00371161,0.00962067
DEL,T,1,5+,0.89051147,0.00018105,0.02649465,0.00023553,0.00066498,0.00021672,0.00121926,0.00505258,0.02765507,0.000469,0.05561183
INS,C,1,0,1e-08,2e-08,4e-08,1.3e-07,1.4e-07,1e-08,5e-08,2.5e-07,2e-08,9e-08,0.54234682
INS,C,1,1,0.00015634,1.437e-05,0.0106954,0.00208391,0.00383782,0.00143237,0.00107598,2.319e-05,0.00146161,0.00131023,0.01443578
INS,C,1,2,2.59e-06,2.8e-07,0.00834217,0.00170266,0.00335612,1.307e-05,0.00183289,1.913e-05,0.0006762,0.00097338,0.00043407
INS,C,1,3,0.00021043,0.00057295,0.00127833,7.469e-05,0.00847228,0,0.00015526,4.75e-06,0.00346595,0.00100392,0.00070772
INS,C,1,4,0.0018197,0.00071791,0.00015126,0.00044256,0.00826538,0.00021922,2.82e-06,4.095e-05,0.01352451,0.00047236,0.00066734
INS,C,1,5+,0.00328556,0.01463318,3.399e-05,0.00759747,0.00780079,0,0,9e-08,0.09910306,0.00470308,0.00239249
INS,T,1,0,0.00060715,0.00181437,6.819e-05,0.00327956,0.01833736,0.00649456,0.0306456,0.0133014,0.00855265,0.00374988,0.03922295
INS,T,1,1,0,0,0.0176309,0.00439928,0.06466913,0.00014536,0.00785606,0.00524998,0.00239533,0.00300106,0.00286721
INS,T,1,2,0.00024705,5e-07,0.04497933,8.66e-05,0.05394209,0,0.00795812,7.34e-06,0.00396764,0.00193328,0.0013312
INS,T,1,3,0.00059481,0.00267487,0.02979865,0.00110864,0.0305912,3.64e-05,0.0132545,0.00017715,0.01266803,0.00221528,0.0002684
INS,T,1,4,0.00154358,0.0118816,0.01625641,0.00189678,0.00791999,0.00044361,0.01163157,0.00150661,0.04567416,0.0036223,0.00478235
INS,T,1,5+,0.0027883,0.94501182,0.00107444,0.0130408,0.00248969,0.00684505,0.0016808,0.00453518,0.10391705,0.01174401,0.15344069
DEL,repeats,2,0,2.407e-05,0.00012908,0.02350097,0.00712967,0.00869061,9.964e-05,0.02852242,0.01285751,0.00049246,0.08929389,0.00141365
DEL,repeats,2,1,0.0022877,3.858e-05,0.01914177,0.00757235,0.01164082,0.00028967,0.00892914,0.0004911,0.00770818,0.19578464,0.00794444
DEL,repeats,2,2,0.00121266,0.0002727,0.00164117,0.00012367,0.01369058,0.00161152,0.00269737,0,0.00585916,0.04533829,0.00272912
DEL,repeats,2,3,0.00091704,0.00013383,2.156e-05,3.371e-05,0.00637228,0.00036514,7.191e-05,6.54e-06,0.00068523,0.01006186,0.00024701
DEL,repeats,2,4,0.00083579,6.3e-06,0.00066476,0.00024111,0.00323593,0.00011125,7.579e-05,0.0001656,0.00097253,0.00327391,0.00031377
DEL,repeats,2,5+,0,0,0.02933739,5.743e-05,0.00048693,2.34e-06,0.00945183,6.975e-05,0.00010115,0.0016368,0
DEL,repeats,3,0,0,9.91e-06,0.01812675,0.01434873,0.00173619,0.00064357,0.01320519,0.00116428,3.207e-05,0.00494151,0.00146196
DEL,repeats,3,1,0.00211166,0.00213051,0.00157104,0.00075966,0,0.00402222,0.00082554,0.00049437,0.03500918,0.10098569,0.00568396
DEL,repeats,3,2,0.00131848,0.00029974,0.00036106,0.00012902,1.13e-06,0.00048512,0.00063262,0.00033822,0.00840613,0.01426941,0.00164653
DEL,repeats,3,3,0.00025203,0.00011719,0.00052768,0.00030181,4.253e-05,0.00011984,8.786e-05,0.00022371,0.00346767,0.00366888,0.00041315
DEL,repeats,3,4,0,1e-08,0.00765322,1e-08,2.212e-05,2.3e-07,0.00237558,3.5e-06,3.869e-05,0.00062044,6.86e-06
DEL,repeats,3,5+,0,0,0.01160759,0,0.00021405,2.659e-05,0.00342317,7.27e-06,2.226e-05,0.0005943,2.775e-05
DEL,repeats,4,0,2.34e-06,4.267e-05,0.00860049,0.00775503,0.00062705,0.00217608,0.01303009,0.00048622,9.826e-05,0.00595002,0.00034369
DEL,repeats,4,1,0.00114984,0.00016685,0.00046682,0.00044275,0.00101399,0.00245951,0.00045879,0.0022339,0.00930174,0.05599834,0.00091131
DEL,repeats,4,2,0.00046211,0,2.275e-05,7.13e-06,0,0.00053971,9.457e-05,2.557e-05,0.00034656,0.01061914,0.00058101
DEL,repeats,4,3,0,0,0.00419529,2.43e-06,9.033e-05,0.00012141,0.00215995,1.4e-06,2.329e-05,0.00375983,5.123e-05
DEL,repeats,4,4,0,2e-08,0.00619982,7.785e-05,0.00014591,7.66e-06,0.00203492,4.48e-06,1.466e-05,0.00026961,0
