"sig_id","active_tumors","sig_prop"
"SBS5",508,0.940740740740741
"SBS1",502,0.92962962962963
"SBS40",204,0.377777777777778
"SBS2",180,0.333333333333333
"SBS13",177,0.327777777777778
"SBS18",156,0.288888888888889
"SBS17a",108,0.2
"SBS17b",107,0.198148148148148
"SBS3",105,0.194444444444444
"SBS4",57,0.105555555555556
"SBS7d",53,0.0981481481481482
"SBS7a",52,0.0962962962962963
"SBS7b",51,0.0944444444444444
"SBS7c",47,0.087037037037037
"SBS12",36,0.0666666666666667
"SBS29",23,0.0425925925925926
"SBS41",17,0.0314814814814815
"SBS16",13,0.0240740740740741
"SBS44",11,0.0203703703703704
"SBS28",9,0.0166666666666667
"SBS38",5,0.00925925925925926
"SBS22",3,0.00555555555555556
"SBS35",3,0.00555555555555556
"ID1",1000,0.893655049151028
"ID8",840,0.750670241286863
"ID5",719,0.642537980339589
"ID2",639,0.571045576407507
"ID3",405,0.361930294906166
"ID9",380,0.339588918677391
"ID6",230,0.205540661304736
"ID11",121,0.108132260947274
"ID4",92,0.0822162645218946
"ID13",76,0.0679177837354781
"ID14",49,0.0437890974084004
