Type,Subtype,Indel_size,Repeat_MH_size,signeR.1 (False Positive) (ID2 0.999),signeR.2 (ID1 1),signeR.3 (ID2 1),signeR.4 (False Positive) (ID2 0.898),signeR.5 (ID5 0.957),signeR.6 (False Positive) (ID2 0.995),signeR.7 (False Positive) (ID2 0.999),signeR.8 (False Positive) (ID6 0.861),signeR.9 (False Positive) (ID1 0.999),signeR.10 (ID3 0.99),signeR.11 (ID9 0.997),signeR.12 (False Positive) (ID5 0.575),signeR.13 (ID14 0.991),signeR.14 (ID4 0.986),signeR.15 (False Positive) (ID5 0.11)
DEL,C,1,0,0.00560141477852287,1.0582198909506e-05,0.00149104936799477,0.00133899628157013,0.0188632289807331,0.00714593921316447,0.00329305252865118,0.0319991035290503,7.90672023133322e-05,0.105015190532528,0.362337259493461,0.020057152430483,0.00584554557514023,0.0121952799069463,0.00390508775510863
DEL,C,1,1,6.70661781163787e-05,0.000221159094017247,1.34950687498115e-05,0.000180724391849021,0.0216369329178998,5.49153465230971e-05,0.00017043981803653,0.00878650016538824,0.000276732620336875,0.22204547172983,0.102331450723033,0.000160054694580053,0.000847540221773322,0.000263134265399419,0.000587860033808237
DEL,C,1,2,2.49496025488059e-06,2.32362009749288e-06,3.11597291657005e-06,4.08404707064157e-06,0.0176922755669931,5.66089512573156e-06,6.50387370933758e-06,0.00334176875977117,6.0582145984778e-06,0.195116870244736,5.61082294356455e-05,2.14319190365886e-05,9.9893273730903e-05,0.00130903370933975,5.08382949070278e-05
DEL,C,1,3,0.00132822704798009,0.0025521382270374,0.00226583015862998,0.00255165209383052,0.0105686467628449,0.00342917208516437,0.000805350157977839,0.00151146215681157,0.000255170519822889,0.0705052882935849,0.0114371142799309,0.000362470766276232,0.000536390386268736,0.000418400895272759,0.0269855876981157
DEL,C,1,4,0.00309574875087758,0.000421253634000529,0.000893443653844251,0.00287420625485203,0.00143344889627241,0.00490683820514449,0.00295043031006561,0.00123839866117697,0.00289278903420672,0.0432899189191267,0.0128681191432345,0.0324729150132357,0.00185300722650137,0.00212641191689971,0.0054462291603281
DEL,C,1,5+,0.00348340600006015,0.00271913425116347,0.0130384637507905,0.00724703017926055,1.10687810997203e-05,0.0246556353755095,0.0260106104743967,2.06388875934363e-05,5.52005956769885e-05,0.0239040355736573,3.69436444057412e-05,0.0994252999977438,0.0045012822679127,0.00174589623796313,0.0396738500235251
DEL,T,1,0,0.00454188084587478,0.000737104904566704,0.00209281179342995,0.00731782665703099,0.0988902359890324,0.00859129332588623,0.00489808206937228,0.00988530209840254,0.00625858694824363,0.0318500343195652,0.121348507393723,0.0650707520340318,0.0174783002886548,0.0035273077340818,0.00270551142524056
DEL,T,1,1,2.01314952460933e-06,2.43305511376154e-06,2.91594248163548e-06,3.60698272886437e-06,0.143342875495845,5.24437235991469e-06,4.45658120241985e-06,2.37887509458383e-05,6.54673826359655e-06,0.00134288515935452,0.0258278670240701,2.46495045647685e-05,0.000151106915582069,0.0296845415545543,5.28682081578772e-05
DEL,T,1,2,0.00588576401088705,1.28598282842532e-05,0.00339771030692167,0.00285037840207033,0.104617887943796,0.00781279118367196,0.0113852779200463,0.00668212638114965,0.00271808131350326,0.00850781416694333,0.0840726267874533,0.0587358606524285,0.006941224261843,0.000293938244528271,0.0394311092997309
DEL,T,1,3,0.00960854628769115,1.50900484658785e-05,0.0216323876362168,0.0104923816963001,0.0763026379392134,0.0164047586513326,0.00778194240702994,0.011639109439669,0.0174981551985934,0.0104971352219206,0.104154283974468,0.288816600215418,0.0150585229582544,0.00435345703130792,0.00159271974936208
DEL,T,1,4,0.0298048793887819,0.00248109963993137,0.040281199451637,0.0402258795613636,0.0371377382138831,0.113158166968111,0.00761231155431849,0.007706797449357,0.000466262319581131,0.0113653334815757,0.0964879803944349,0.210810046005573,0.0128929813831621,0.000650568982613589,0.00851505900812728
DEL,T,1,5+,0.88829561848473,1.65001487402341e-05,0.858471116366953,0.550181120759679,0.00492921183254615,0.71975918513742,0.862131928552775,1.85048382097752e-05,0.000257173391338974,0.000165040961533628,4.7928225427842e-05,0.00168220896849106,0.0802918371424401,0.000377197283275887,0.000975281875440057
INS,C,1,0,2.20328929643521e-06,2.84896745280673e-06,3.15526219500888e-06,3.39063027390714e-06,0.000566253939316586,4.18387346087363e-06,4.87196099072118e-06,0.00190970796200726,5.31915378497696e-06,0.00184669686302068,2.60193165040747e-05,2.11478542603816e-05,0.487268478219136,0.000577288523719317,5.32738292268782e-05
INS,C,1,1,4.64770419690361e-05,8.91937547583272e-06,0.00012433036579075,0.000168899204971011,0.00638474871695702,0.000454278183585248,0.000154566350305365,0.00150779830066737,2.31922759192877e-05,0.00520322072315211,2.42677293165287e-05,0.0018725825507311,0.0140503224605601,9.37399279283947e-05,0.000398464092043575
INS,C,1,2,8.7141430315245e-06,5.54654817416026e-06,1.94373559980902e-05,1.08027173749386e-05,0.00582809936735047,2.14640735585539e-05,4.10821948449878e-05,0.000302601474443929,2.58319710322748e-05,0.00339938302085289,5.86913577371218e-05,9.55418849340088e-05,0.000568779561594117,9.70567613124009e-05,0.000142337457524812
