Type,Subtype,Indel_size,Repeat_MH_size,signeR.1 (ID2 1),signeR.2 (ID1 1),signeR.3 (False Positive) (ID2 1),signeR.4 (False Positive) (ID2 1),signeR.5 (ID5 0.978),signeR.6 (ID8 0.998),signeR.7 (ID3 0.998),signeR.8 (ID6 0.999),signeR.9 (ID9 0.998),signeR.10 (ID14 0.995),signeR.11 (ID4 0.991)
DEL,C,1,0,0.00403589700413168,4.50606088870781e-06,0.0053257959988993,0.00561501750898352,0.0181670738588229,0.0405237175230536,0.11549013131658,0.0281832305176489,0.371298906590366,0.00842891706045716,0.0108807450423006
DEL,C,1,1,2.9519879574091e-05,0.000563839753157527,2.42458352972434e-05,2.08205541972786e-05,0.0208867938367157,0.0197898367620557,0.208931790809223,0.0048150556554199,0.102670403949627,0.000239311922922693,0.00265016618713466
DEL,C,1,2,1.17906467406178e-06,1.31915870563151e-06,2.71954045368663e-06,4.71485622135626e-06,0.0191028980808473,2.17688195504316e-05,0.178945680396881,0.00618608951992923,4.94737635281238e-05,0.000156829584112354,0.000469895617360501
DEL,C,1,3,0.00234767246734999,0.00167696831330872,0.00218089438057441,0.00376836429800171,0.0109423116509197,0.00453888486284062,0.0659050261652611,0.000107371911905429,0.0110001282660241,0.00065093604887999,0.000659205985977943
DEL,C,1,4,0.00347190567235903,0.000870269445613351,0.00378213664058398,0.00498013357714538,0.00164171387336822,4.76686160424759e-05,0.0418689068660357,0.00235113222431105,0.0113166396320225,0.00167556450630044,0.0024576370237386
DEL,C,1,5+,0.0131475880487247,0.00341276239719828,0.0153037922017541,0.0203103905625294,0.0013544607528411,2.00718294768061e-05,0.022109705995033,0.00107745374528151,8.65803654586407e-05,0.00311908455438793,0.0022010798276763
DEL,T,1,0,0.0068137327745985,0.0014413569487639,0.00918741385156984,0.0102668739577418,0.0994102048525119,0.0340828429759868,0.0381756865381649,0.00352600508156919,0.105274855934294,0.0152295957301804,0.00725281090601345
DEL,T,1,1,1.20990788368547e-06,1.22962349350024e-06,2.88694832705557e-06,3.24534111702278e-06,0.155038495296615,0.00347263793855752,0.00428988789990936,4.09856283352512e-05,0.0290307539270259,0.000102662701825426,0.0456093251578014
DEL,T,1,2,0.00692349838760347,0.000609865247765217,0.00771681183229738,0.00906524478583642,0.109459397702833,0.00481945611355431,0.020723456954488,0.012095320881258,0.0900521348423121,0.00928218016995405,0.000142148177219601
DEL,T,1,3,0.0182464283078948,0.00250483544509425,0.0182746069665975,0.0296002842882837,0.0888119768897894,0.00538213006147693,0.0189976229473465,0.0227562294004135,0.121852830427889,0.0179067972810547,0.0018881292859714
DEL,T,1,4,0.0413643945881282,0.00340886418621633,0.0538313630048818,0.0603064049795882,0.0478604278254147,1.78785011407374e-05,0.0155500174940743,0.0188028566224801,0.0979678583386929,0.014176165430345,0.000399690122681069
DEL,T,1,5+,0.834998660021964,5.76131634967028e-06,0.799156917128452,0.762870870435338,0.0152624881389546,1.37252174417538e-05,0.00408552804727626,0.00128523885105672,5.73196158325135e-05,0.0680829195541859,0.000361353649654185
INS,C,1,0,1.27215482129151e-06,1.301518259998e-06,3.07805687434974e-06,2.90476647726226e-06,0.000189443611015627,0.0021369551037431,0.00191348371225705,0.00194614299231586,3.57165060194526e-05,0.422829990073557,0.000523709941895444
INS,C,1,1,0.000172506220611455,4.81401691572866e-06,0.000292067694325045,0.000287547717500656,0.00631771075830516,0.00236542788099052,0.00444089287025045,0.00122711472309138,2.64825801768134e-05,0.0101077547639637,5.94213377136057e-05
INS,C,1,2,2.15692320174899e-05,2.27974700638107e-06,2.3377084851524e-05,2.9587637939183e-05,0.0058101546146838,0.00115171897109605,0.00407325037976799,0.000109008000309167,5.43190050027482e-05,0.000570363969114403,7.24093440594396e-05
INS,C,1,3,0.000415544516448903,0.00072295957692125,0.000648111235207889,0.00060111255026632,0.0012594672738007,7.86718629816863e-06,0.00736838093656388,0.000107976033488405,2.55381559370218e-05,0.00180504428457997,8.48102015080768e-05
INS,C,1,4,0.00262013838902485,0.00185345561534225,0.00274513178348364,0.00404001257557068,2.42095496729796e-05,0.000718191012268959,0.00724398852919013,8.85045885614842e-05,7.6593669855869e-05,0.00129631694437664,0.000100026328906581
INS,C,1,5+,0.00795791176967259,0.0235775858599859,0.0107601525502701,0.010466726349481,9.2806432884066e-06,1.26356702415621e-05,0.00691176440058004,4.87907910510653e-05,3.0545449735425e-05,0.00289430594981144,0.000177821228766738
INS,T,1,0,0.00132654322055461,0.00211630012737615,0.00129334209210692,0.00182665571473513,0.0109244701703257,0.00512476253740672,0.0146898500692854,0.00546913662644308,0.0112115763519965,0.0303777829046064,0.00557494623253859
INS,T,1,1,2.51874573977988e-06,2.51856639013947e-06,9.92438449367183e-06,6.74900716391978e-06,0.0198041471704562,0.00418636897316887,0.0538009640756429,0.00033925215639785,0.0064933421741611,0.00259443762871979,0.000246116776611284
INS,T,1,2,0.00070653739906447,2.24649588710312e-05,0.00077083737277027,0.000641834747189159,0.0307349225537357,1.21613656839259e-05,0.0479038573688468,6.20647845738246e-05,3.74628802009501e-05,0.00139388546505778,8.04754582242447e-05
INS,T,1,3,0.00120751908367878,0.00393407984127438,0.00120875138963568,0.00131364423153783,0.020708309218588,3.32789100399808e-05,0.0283212080284553,0.000196486605673246,8.5962168708672e-05,0.000711057349261959,0.000139397765206143
INS,T,1,4,0.00268945329165863,0.0170897724480691,0.0037850931314753,0.00425776032388009,0.0134686074333003,2.50545563245472e-05,0.00711960488851509,0.00109739254589011,4.00429047369467e-05,0.00575419200197169,0.000904714674183934
INS,T,1,5+,0.000532608151408714,0.897330700080404,0.00298352974597451,0.000263830801320409,1.42544894662444e-05,0.00414205171097798,0.0212652315652268,0.0089300606526853,0.000106237839072804,0.261213106972437,0.00152989913878568
DEL,repeats,2,0,0.000211294366478856,0.00039850352411325,0.000151996567347616,0.000246517519904047,0.0284263744713094,0.00853269696904708,0.00669032261562199,0.00164203803442616,0.0134980374780367,0.000950288572788769,0.0672428976969592
DEL,repeats,2,1,0.00318425494526309,0.000736940028199035,0.00382070372789034,0.00598580876256484,0.0222200899428557,0.00801204190835266,0.00995479791217946,0.00198558160891371,0.00168098112172988,0.00618370259102443,0.221475068030462
DEL,repeats,2,2,0.00177285393815081,0.000215219235435434,0.00196200129362539,0.00248142348821887,0.00423869668592225,1.43896490895629e-05,0.0115982148110822,0.00191654277924727,0.000169122503231711,0.00202341173130986,0.0514722707270227
DEL,repeats,2,3,0.000607839053863286,0.00037362030264896,0.000974338652063625,0.000946969554778149,1.04839918127899e-05,8.68892605748505e-06,0.00654279974504773,0.000381531509690016,3.17148475126829e-05,0.000492510975363707,0.0107820630381254
DEL,repeats,2,4,0.000877534513632248,4.98004438664351e-06,0.00110526110879034,0.00108455382171946,0.000618783459049307,2.46888667380647e-05,0.00307597822115144,0.000195123316012839,5.44122270817791e-05,3.99332452262412e-05,0.00272074870961882
