Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12
DEL,C,1,0,1.4550560316325e-09,0.00432822055153611,6.06909377352855e-164,0.0352576666479658,0.00165016203568464,0.0147293083453595,0.0222403667283159,1.65450759173099e-193,0.00752087967555787,0.120687978475571,0.401205528621395,9.14556854780389e-56
DEL,C,1,1,0.0191633534660232,1.52986390063292e-92,8.53116091583498e-178,0.0211949920421743,7.06438434876781e-132,0,0.00198393894582553,0.00066710919132646,0,0.23839359551118,0.108121208039795,6.00034903011703e-182
DEL,C,1,2,0.023112974839371,0,0,2.57077608624573e-155,0,0,0.00606654205995682,0,0,0.20714523541189,0,5.44230893658848e-05
DEL,C,1,3,0.0127794659302969,0.0024702178139821,2.01384954204892e-188,0.00502724354749161,0.000236623101092673,0.0139907057249417,0,0.00149268175402261,0,0.0749844780645155,0.011066848506414,0.00195278527866934
DEL,C,1,4,7.63763069018309e-91,0.00360373873617761,0,5.12973475276588e-110,0.00171193649412369,0.0230804455641801,0.00203310338878853,0.000591299563693609,0.00102990660107971,0.0486940555630529,0.0110102095569578,0.00161648726685089
DEL,C,1,5+,1.63893308772158e-124,0.0142710614287146,0,0,0.00174457072490638,0.0825477409858063,0,0.00199397238061704,1.39236150208094e-146,0.0238451082574114,0,0
DEL,T,1,0,0.118332974409959,0.00724569256476542,2.16429598474049e-223,0.0394479558475405,0.00494256270335675,0.0606602556817051,2.494409512029e-109,0.000975079393511371,0.0188324902446479,0.032981416733975,0.106659976205034,0.0369824298801492
DEL,T,1,1,0.0998175966147671,0,1.52677858347404e-293,7.39052198399191e-152,0,0,0,0,0,9.99028914860672e-32,2.48913172456679e-170,0.717437538438355
DEL,T,1,2,0.139459519508004,0.00710389277123011,5.13564003605476e-292,0.00614947878404375,8.20808521807058e-264,0.0315320194543386,0.0105349918298239,0.000478541309005399,0.0111842942693288,0.0131024733087441,0.0939626736589388,3.83626952989937e-84
DEL,T,1,3,0.0998781438787089,0.0189540292481991,5.65284459416403e-130,0.00383744100882137,3.23496395651382e-261,0.146199118287656,0.0197979640011718,0.000731599613988443,0.0187810887873908,0.0101268735231546,0.122572365412719,0.0516182688212669
DEL,T,1,4,0.0499957174753132,0.0433845315964267,4.07578176987928e-210,3.35562312437432e-203,2.96372864095734e-99,0.364941329954165,0.0114994489193687,1.25638769636433e-52,3.11257724811941e-09,0.00479686665127976,0.0918279801601741,2.07228155934292e-47
DEL,T,1,5+,0.0157276812566915,0.820649196165204,3.37767772081746e-194,1.0494994412766e-41,2.74452962539267e-117,1.32192771557445e-78,6.11965848980321e-50,1.71807426043711e-13,3.75843000757654e-92,6.45485576748072e-16,1.09441804360529e-97,9.24717378434178e-77
INS,C,1,0,0,0,0,0,0,0,0,0,0.719525777113454,0,0,0
INS,C,1,1,0,0.000207588254329778,0.186004094085147,5.6624316138661e-300,0,0.00109008010503163,0.00132020545359542,0,0.0163048136594319,0,0,8.13361125457868e-227
INS,C,1,2,0.00334446946664323,2.25213393629197e-05,0.103565829935566,8.56495539099991e-05,0,0,0,0,1.75368511840187e-146,0.00113762723410448,0,0.000593779937923471
INS,C,1,3,2.05571511548903e-134,0.000472133170626093,0.0382069746938356,0,0,0.00236123057997518,0,0.000766483512035715,0.00219060138116371,0.0065374766751545,0,0
INS,C,1,4,0,0.00286150803648048,0.0083419987617358,0.000394581065964303,0,0.0105979944149167,6.53170739437614e-97,0.0016618801551639,0.000508737532799553,0.00725386050757856,0,0
INS,C,1,5+,0,0.00938412719276925,0,0,0,0.0123042024958958,0,0.0226930752727234,0,0.00726616427723534,0,0
INS,T,1,0,0.00396034938127523,0.00136860442023059,9.69814087899236e-213,0.00376320233318882,0.000897882111648662,0.00536980964740068,0.00607693090605913,0.00219057480592888,0.0508135264765618,0.0190730551456579,0.00973713690227446,0.05506696278557
INS,T,1,1,0.0122455305414091,0,0.353071025388103,0.00102151984881299,0.000794444993006468,0,9.10265785556289e-183,0,0.00174245497491546,0.0455974806439469,0.0070316500010202,2.47551899745979e-186
INS,T,1,2,0.0343354878215889,0.00069274802413222,0.158403998486258,0,0,8.91740236330133e-113,0,0.000140850700603781,0.000597877327899592,0.0456864880138239,0,3.32728412689968e-296
INS,T,1,3,0.0218400877720961,0.00127978769087297,0.0982369380078426,2.49509486567862e-31,0,1.88828712915422e-27,1.79542051690121e-05,0.00390715158611667,0,0.0273337805015636,2.08806309797274e-18,0.00869812113164098
INS,T,1,4,0.0123711753875816,0.00312121978364665,0.0473251126570777,7.94315511399037e-201,2.07590907307762e-26,0.0220805198247195,0.000475707390781413,0.0169353663057251,1.21144087757602e-64,0.00562556278893578,1.11253907029844e-308,0.0151308786424586
INS,T,1,5+,1.11896112962752e-50,0.0037152340926362,2.08043838370631e-185,3.52258463799037e-22,3.73221355904746e-82,3.84820636735198e-78,2.1709935457052e-11,0.910694220253739,8.18642608566792e-72,2.8802973494107e-17,6.06814862006054e-76,4.82310817465234e-95
