Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12,low confidence hdp.13,low confidence hdp.14,low confidence hdp.15
DEL,C,1,0,0.0370311110206203,0.00873699643648233,0.0145416290902485,0.00805464045771308,0.0123725821941188,0.0263973657649972,0.00266874885944813,0.0206327003677558,0.0208219883585928,0.0302920190555167,0.166333821120343,0.00782368588641955,0.0171732500903476,0.0131616916220462,0.0131877605984657
DEL,C,1,1,0.0235640611792837,0.00813509119629399,0.0133094295339868,0.00241360267097041,0.0401830768179441,0.000423921968084663,0.000411096855007936,0.021698961661304,0.000890133453132551,0.0270176901168643,0.141908390091482,0.00470639870290266,0.0143228375603074,0.016319856359614,0.0103419204461789
DEL,C,1,2,0.002543510534389,0.0019051303783339,0.0387899559673096,0.000859772173531874,0.0187955888841651,7.12196668743745e-05,1.20257677404289e-05,0.0254455925157653,5.90821202454918e-05,0.0267181337827074,0.0804611693605393,0.034063143087345,0.0334276790025874,0.00594760973420116,0.00458920335549732
DEL,C,1,3,0.00603434619981937,0.00390279398746299,0.0210618745213781,0.00407013966504599,0.0140735323119979,0.0104782177462721,0.0029990559524472,0.0123902508137303,0.00435256865091552,0.0129456706642021,0.0908932948800654,0.00253063022410455,0.0139720946429656,0.00605982878578986,0.00428401942495718
DEL,C,1,4,0.00190512359121749,0.00326201600554028,0.00284625016821748,0.00647592280772193,0.00117979663261568,0.0196408122457463,0.00248749981919214,0.0035274869417573,0.0344437613461359,0.0032223096658937,0.0520582328037838,0.00113468138314036,0.00218149568053834,0.00748661387027478,0.00813696654802641
DEL,C,1,5+,0.000802314203963288,0.00158192293058013,0.00212147614472124,0.00288630819392581,0.00185163778196641,0.0814584157679954,0.00838963360578885,0.00263618215595523,0.0974375638546736,0.00294193172593498,0.0235346113143099,0.000741585375713358,0.00233181407368482,0.0096829010227965,0.00304420970713787
DEL,T,1,0,0.0382460529454026,0.023993925310529,0.0129112537962734,0.0445758977326,0.0529258734427248,0.0418248652114438,0.00655904011015881,0.0761686220575303,0.05917074342586,0.0514272883430835,0.0239729749705446,0.173914913632386,0.00857441167573066,0.00880117990317099,0.0136188329003536
DEL,T,1,1,0.00770074937706569,0.00761096804290936,0.0207285789301515,0.000900599133761678,0.0783820540021181,0.0001003285225451,9.85458626049988e-06,0.0923206939466726,6.46559051743118e-05,0.175653045537485,0.0302371976149059,0.010210937627572,0.135152519931279,0.00514604507999615,0.00264747059743569
DEL,T,1,2,0.00796438416102636,0.015822816432628,0.0343720365731479,0.136733549949305,0.24462523938138,0.0230570275472626,0.00354359619886995,0.0794238249291429,0.0720172029298043,0.0612666531682453,0.01111770588887,0.187034044822503,0.0464051669442338,0.00681329956074257,0.0838111369245852
DEL,T,1,3,0.0082870913809191,0.0115352481879977,0.00777599020184214,0.543178420207165,0.0412969881866151,0.0994856271143945,0.0077585930926429,0.0815354065286724,0.251086748716497,0.084722338433485,0.011319047335629,0.0165223787924107,0.0170204263906487,0.0252332553143737,0.302948458248931
DEL,T,1,4,0.00131737322842923,0.0219092555741846,0.384814613353046,0.0323657794885502,0.0282152543009879,0.344824862688676,0.0335044928238536,0.0465161708547382,0.0190729346479291,0.0477037946234984,0.00818813536681698,0.0487184154128683,0.231898690413632,0.0197345217865273,0.247950499166466
