Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID13 0.998),hdp.2 (ID4 0.993),hdp.3 (ID1 1),hdp.4 (ID14 0.98),hdp.5 (ID8 0.982),hdp.6 (False Positive) (ID5 0.907),hdp.7 (ID9 1),hdp.8 (ID6 0.995),hdp.9 (ID2 1),hdp.10 (ID3 0.974),hdp.11 (False Positive) (ID5 0.89),hdp.12 (ID11 0.977),hdp.13 (False Positive) (ID8 0.952),hdp.14 (False Positive) (ID5 0.129),hdp.15 (False Positive) (ID3 0.936),hdp.16 (False Positive) (ID5 0.349),hdp.17 (ID5 0.994)
DEL,C,1,0,0.0467082655448773,0.0117443993710561,0.000487036796109074,0.0103555177554627,0.0339932016097905,0.0183229391007162,0.334562870185368,0.0307412779657314,0.00425296263626495,0.139003076652502,0.0137658646042861,0.0082854982271192,0.0367320068790655,0.00319558192476975,0.06782735730254,0.0200998033632691,0.0255057469076483
DEL,C,1,1,0.0146875883302205,0.00230720275728479,0.00056855035894783,0.0024725158213875,0.0192222142325173,0.0291119011703714,0.0977415268304008,0.00612490763154699,4.32935552443294e-05,0.149043180522669,0.033137070748748,0.0090903917142329,0.0235610010100203,0.00401543496847098,0.318052552131402,0.0112805626635949,0.0274502066644076
DEL,C,1,2,0.00724322756459273,0.00322399958749054,6.51300554809658e-06,0.000370524297423323,0.00273233660599473,0.0256669799156185,0.00240378992567858,0.00852200982386989,4.05886882552435e-06,0.213310648656402,0.0211190097537135,0.00280214874273903,0.00253205475477912,0.00012753080634158,0.135227475720797,0.0248876665076378,0.0296207663243803
DEL,C,1,3,0.00463526592888098,0.00164579123382341,0.00189007807789332,0.000832612230783307,0.005670054358707,0.0156856416341335,0.0109694823572991,0.00080839244937367,0.0023784270791526,0.0717258323064855,0.0127845166851583,0.00237880833281986,0.00609397592467851,0.0142920373845506,0.0561714256140207,0.0172688715348406,0.013311542696683
DEL,C,1,4,0.00408046219894755,0.00246669956344966,0.000793420954165756,0.00180916442685926,0.00104171065236662,0.00360541110863033,0.013054706232401,0.00257051072882613,0.0035504113374457,0.043565297275175,0.00116720885503434,0.00333478599396156,0.00193752664933395,0.00633079926787115,0.040873674636867,0.00663678245210414,0.00318131088445665
DEL,C,1,5+,0.00141423618891603,0.00222890514948299,0.00265172368743932,0.00333022311885225,0.000589905372388823,0.00350113365303918,0.000620756645973953,0.00184698504776571,0.014160360317726,0.0256318885770261,0.00143506977873107,0.000755286433680814,0.000838406294401351,0.019090681545034,0.0221994494450216,0.0159994292897113,0.00234873727071654
DEL,T,1,0,0.0400616169321603,0.00772161608196897,0.0014381451138979,0.0198083726338842,0.0285373733572961,0.201784050696159,0.10582604071169,0.00243132922879241,0.00685929174961858,0.0281210229590223,0.0639130800129424,0.0155181349181898,0.0383865476019249,0.0113469259634357,0.034183610785567,0.0215073724887794,0.0881875781918522
DEL,T,1,1,0.516824195332911,0.00333527256302512,7.50467564392191e-06,0.000571572218141551,0.0111045438990774,0.0725018312770879,0.0390354172876575,0.000690197233902475,4.0243653038236e-06,0.00845107660025634,0.0874940880722953,0.00968462326983078,0.0079362124207117,9.71784744322839e-05,0.0210202310080059,0.0092437265534807,0.117266005790889
DEL,T,1,2,0.0184105288153259,0.00568772199812473,0.000319412317950482,0.00812965205572012,0.00909851104308033,0.0859404181869519,0.0845358582375758,0.00947635391411603,0.00696893766821597,0.0112259353992305,0.22275996607235,0.0202225595581522,0.00813066390942977,0.0112257716974112,0.00834434759591421,0.0161546881862636,0.097933733552372
DEL,T,1,3,0.0555493294732299,0.00646892991939442,0.00199054188683193,0.0156563245705808,0.0103648124320477,0.0725671323214169,0.105064334299104,0.0214673524147314,0.0175851537427106,0.0154700992329874,0.0539991228396602,0.00570487836301205,0.00839402369669977,0.010689292105401,0.00954880936778001,0.0250512237245231,0.0902350403902537
DEL,T,1,4,0.0146036933066304,0.00423154668499021,0.00424747988264522,0.010619103198181,0.00171226939142603,0.044391787142059,0.0959471999249654,0.0168239497491653,0.0462514365580469,0.0134149718322681,0.0310846290968449,0.00642095416276894,0.00136680380015095,0.0393469096394925,0.0150953484928979,0.43875695712104,0.0519314139001536
DEL,T,1,5+,0.00660961642907389,0.00204796377557624,0.000908825352868774,0.0451917400629797,0.00899286225619918,0.0315704517193759,0.00435112763408638,0.00272055978335426,0.810983703464966,0.00846595482085992,0.0253118190687068,0.00863476414803695,0.0130645106545207,0.0134647875540816,0.0133366438621672,0.0148399397889938,0.0275244009420352
INS,C,1,0,0.00281413178126526,0.000383901588687327,6.11977558593832e-06,0.529651756016258,0.00267153394036534,0.000679627572280276,0.000196704868065707,0.00228077327772955,3.29979134810789e-06,0.00262318472712904,0.000467440370458898,0.00070834570335475,0.0025810729698913,0.000144194831703546,0.00232575976657457,0.000901505429075695,0.000464960232450424
INS,C,1,1,0.00234303051567468,0.000406645827201456,5.36554762573314e-05,0.0151080307210419,0.00219571073681916,0.00116215011923543,0.000211974526825331,0.00175349719823693,0.000187348895028743,0.00130466551221499,0.00108869293349318,0.121067985637705,0.00191632312910466,0.00046412711454579,0.0014158229051606,0.00260165726826121,0.00131894555827862
INS,C,1,2,0.00199085992196486,0.000251335169919259,8.40287304382437e-06,0.000661637334758993,0.000947285268227255,0.00358682964036047,0.000368876766379109,0.000129922958024528,1.23303039823309e-05,0.00210370872756118,0.00212703022198051,0.0663176845560516,0.00227500449160818,0.000154652357823556,0.00112189468548657,0.00224094802152986,0.00323782555058985
INS,C,1,3,0.00038701368275337,0.000948412077362933,0.000825785069329945,0.000822348399829752,0.000250907953890177,0.000195291550602733,0.000225975238873629,8.47746053069333e-05,0.000356810327958807,0.00582511608570126,0.000307655492885136,0.0264656094732892,0.000109838508170592,0.00615642214533343,0.00681304845050386,0.00110086588288139,0.000521763569347781
INS,C,1,4,0.000319932121851897,9.63872114572205e-05,0.00141138398849506,0.000815820603343291,0.000229102259564617,0.000276743687987175,0.000363087952334108,0.000418174280644311,0.00261346088673304,0.00820659029065694,0.000319593085948298,0.00785200786453286,0.000428023283727591,0.0179077057854095,0.00561923595154755,0.00319659329858434,8.89871814804579e-05
INS,C,1,5+,0.000972616757539429,0.000854004596965746,0.0212473075189939,0.00228336368074444,0.000953304589655418,0.000363859610061773,0.000789985796437756,0.000268536119519321,0.008198537579943,0.0103169659549268,0.000335030299127696,0.00131859760367012,0.000424969071862909,0.19287988706552,0.00733889877319133,0.0137183950272182,0.000181028970944869
INS,T,1,0,0.0388403656477141,0.00374698106125796,0.00234762692443574,0.0389077403531587,0.00447042853017471,0.00463101349480994,0.0137458592078366,0.00685756129035766,0.0011673722875591,0.0180418208612376,0.00645402274916391,0.00418597043518202,0.00509691400736408,0.0121620178570335,0.0220225389167734,0.00578834611999652,0.0052236742145647
