Type,Subtype,Indel_size,Repeat_MH_size,signeR.1,signeR.2,signeR.3,signeR.4,signeR.5,signeR.6,signeR.7,signeR.8,signeR.9,signeR.10,signeR.11,signeR.12,signeR.13
DEL,C,1,0,0.00105801751108141,0.00609966530668814,8.37657991552153e-06,1.15918168097917e-05,0.00516741040849184,0.016213555664082,0.00775992829913242,0.0341448964703843,0.103143303644929,0.0291454742574134,0.376776819922449,0.00578337225152236,0.0111916941495196
DEL,C,1,1,6.81236393886367e-06,0.000100159608641752,0.000333435531956582,0.000214728340020947,2.58054693598734e-05,0.0198226490006378,0.000175661427568028,0.018882875231899,0.219229049770612,0.00423654086508448,0.0977832933375199,0.000723130191723329,0.000331229776061986
DEL,C,1,2,1.73444797498906e-06,2.69615262468923e-06,2.23891849300619e-06,2.78416976367495e-06,3.62514036927556e-06,0.018459199816635,5.03388521663997e-06,1.13287989480103e-05,0.193342171642756,0.00549201675286749,2.59202805729606e-05,7.5297485396823e-05,0.0019245868778033
DEL,C,1,3,0.00103696350174497,0.00224743228216769,0.00306265658744334,0.00135324275684356,0.00295727314270129,0.0103207993152572,0.00347401934648816,0.00455222032104798,0.0699893540955413,7.13255934308751e-05,0.0101826445813113,0.000760540053821876,0.000405364281731012
DEL,C,1,4,0.00090728507967375,0.00698358667025811,0.0013518749838284,8.51314808772765e-05,0.00438410502432876,0.00196144917158401,0.00584670830976498,0.000106097420866621,0.0433157462397798,0.00218904629013007,0.0141315999036861,0.00178016979233783,0.00214668053253223
DEL,C,1,5+,0.0063048544830408,0.0175904288705215,0.00707535832088395,2.20141946901232e-05,0.0315424550760549,0.0010440897009397,0.0128271515720397,1.88199685924126e-05,0.0250067134593883,0.0011919625001622,6.64498517296205e-05,0.00399945074790262,0.00197038657247708
DEL,T,1,0,0.00117547273980433,0.0122647745832576,0.00470022423083137,1.93347069424713e-05,0.00764693942457131,0.102751495499366,0.0116059911085575,0.0323795508280808,0.0333706212002405,0.00202726608473583,0.115172022478025,0.0163292739779156,0.000931543918178095
DEL,T,1,1,1.62555822849078e-06,3.03435616820882e-06,2.3879081119946e-06,3.08696243341434e-06,3.64966892452993e-06,0.15713618803921,4.329754879244e-06,0.00322312561694359,0.00240391536220417,5.54401277100456e-05,0.0218082555980554,0.000138770352950114,0.0293109032541814
DEL,T,1,2,0.0035488306495715,0.0123056178678236,0.00133311498165042,8.93280776647125e-06,0.0097606393928856,0.114859397932395,0.00916733578154408,0.00394850230913874,0.0113670128983268,0.00999949173678,0.0884201661691739,0.00563257748754775,0.00021079393900491
DEL,T,1,3,0.0172172972714002,0.038678939824984,2.33808311829855e-05,1.38926845940968e-05,0.0258955425470606,0.0909959175374292,0.00612559658957699,0.0044467222637765,0.013274455892604,0.0219713736303128,0.116700443014359,0.0135956364516013,0.00261828196092881
DEL,T,1,4,0.0170231003020931,0.0533562346117941,0.00691283404166739,7.23876301272433e-05,0.0719124516267061,0.0459969799536957,0.087017552690934,2.10509220429998e-05,0.01240851282066,0.0173483380137247,0.10453166355048,0.0139702244679324,0.000314423942595927
DEL,T,1,5+,0.922087722056536,0.743351254741941,3.44722302255771e-05,1.74760220675554e-05,0.745705114802359,0.00865434947518785,0.663487067047343,1.23412765978897e-05,5.17037094120153e-05,6.07211209427463e-05,3.99632039351616e-05,0.10147143040019,0.000197071035689651
INS,C,1,0,1.60511438989008e-06,2.94212076758078e-06,2.20152974006846e-06,3.07631240100223e-06,3.5290795038212e-06,0.000363485015765059,3.60919041424448e-06,0.00185320939707204,0.00179178890799384,0.00175504458683237,2.13825889203039e-05,0.481641079055669,0.000509342673142746
