Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 0.999),ID83B (ID1 1),ID83C (False Positive) (ID5 0.879),ID83D (ID8 0.989),ID83E (ID3 0.977),ID83F (ID6 0.997),ID83G (ID13 0.989),ID83H (ID9 0.993),ID83I (False Positive) (ID1 0.4),ID83J (ID4 0.992),ID83K (ID14 0.98)
DEL,C,1,0,0.00222907,3e-07,0.00058618,0.0264298,0.0863507,0.02188628,0.00238839,0.38756124,0.00424537,0.00840934,0.00296079
DEL,C,1,1,0,1.6e-06,0.00875397,0.01954321,0.23701747,0.00087639,0.00305043,0.09993376,0.00032324,2.426e-05,8.326e-05
DEL,C,1,2,0,0,0.00996429,1.964e-05,0.21696846,0.00405984,0.00731444,0,8.93e-05,0.00114475,0
DEL,C,1,3,0.00149018,0.00144674,0.00870736,0.00481346,0.0765893,1.199e-05,0.0048333,0.01011716,0.01159369,0.00063179,0.00051261
DEL,C,1,4,0.00228156,0.00021188,4.12e-06,0.00013163,0.04557413,0.00167388,0.00072676,0.01393052,0.01507707,0.00179749,0.00152657
DEL,C,1,5+,0.0112645,0.00081493,1.294e-05,4.67e-06,0.02677366,0.00085267,0.00057751,3.464e-05,0.04580312,0.00193214,0.00358512
DEL,T,1,0,0.00327407,0.00036025,0.14639076,0.03346767,0.02094934,2.521e-05,0.04886527,0.1201659,0.03469796,0.0043278,0.01668594
DEL,T,1,1,0,2e-08,0.01278282,0.00285389,0.00436227,0,0.54139466,0.00212898,6e-08,0.00070595,2e-08
DEL,T,1,2,0.00534653,6.2e-06,0.17833594,0.00283426,0.00042375,0.0075991,0.03283121,0.09262834,0.01955298,0.00139415,0.00549832
DEL,T,1,3,0.01288146,0.00040342,0.11949391,0.00176532,0.00088614,0.0188595,0.06307074,0.11630203,0.07395263,0.00308204,0.01333732
DEL,T,1,4,0.02227478,0.00014734,0.06392418,0,0.0004565,0.01251481,0.00809299,0.09842647,0.22953611,0.00193522,0.00983454
DEL,T,1,5+,0.89283459,0.00061552,0.01133161,0.00015949,0.00062641,9.453e-05,0.00102792,0.00393661,0.02228503,0.00044608,0.06132535
INS,C,1,0,1e-08,1e-08,4e-08,1.3e-07,1.3e-07,1e-08,6e-08,2.7e-07,2e-08,8e-08,0.54744961
INS,C,1,1,0.00017378,8.89e-06,0.01125568,0.00215148,0.00376976,0.00140628,0.00101748,0,0.00216323,4.93e-05,0.0142923
INS,C,1,2,1.66e-06,1.4e-07,0.00875092,0.00172861,0.00333655,3.23e-06,0.00187021,6.18e-06,0.00130177,6.384e-05,0.00043449
INS,C,1,3,0.00023378,0.00061371,0.00140607,6e-07,0.008453,5.6e-07,0.00016069,3.09e-06,0.0030765,0.00064535,0.00072833
INS,C,1,4,0.00185493,0.00089234,2.909e-05,2.211e-05,0.0083608,0.00022279,0.00024121,6.111e-05,0.01215712,0,0.00073079
INS,C,1,5+,0.0035141,0.01667223,0,0,0.00808188,0,0.00174498,1.214e-05,0.08125073,0.00033559,0.00231904
INS,T,1,0,0.00058734,0.00196412,6.78e-05,0.00295422,0.01856114,0.00659748,0.03223526,0.01297034,0.00729194,0.00371756,0.03924683
INS,T,1,1,0,0,0.02050925,0.00437317,0.06343826,7.764e-05,0.00644727,0.00604504,0.00365956,0.00030906,0.00273416
INS,T,1,2,0.00024924,2.45e-06,0.04673835,0.00010781,0.05396155,0,0.0077306,1.866e-05,0.00497082,4.24e-06,0.00133662
INS,T,1,3,0.00059093,0.00292764,0.03086293,0.00018408,0.03077108,3.193e-05,0.01348827,7.131e-05,0.01117758,0.00028806,0.00030604
INS,T,1,4,0.00159465,0.01292369,0.01679926,0.00038248,0.00802863,0.00042422,0.01237854,0.00173975,0.03651017,0.00067709,0.00479167
INS,T,1,5+,0.00159505,0.93699258,0.00139682,0.00172718,0.00285867,0.00727717,0.00197722,0.0038136,0.11869019,0.00069282,0.15532985
DEL,repeats,2,0,2.884e-05,9.507e-05,0.02462181,0.00745032,0.00878413,4.848e-05,0.02766874,0.01262073,0.00066498,0.09386862,0.00030524
DEL,repeats,2,1,0.00211546,7.84e-06,0.01939092,0.00757627,0.01174941,0.00017792,0.00649007,0.00036629,0.0092196,0.20752511,0.00544065
DEL,repeats,2,2,0.00126115,0.00031782,0.00157727,1.35e-06,0.01364578,0.00158712,0.00242232,3.04e-06,0.00527268,0.04778252,0.00207544
DEL,repeats,2,3,0.00092213,0.00011816,0,0,0.00643664,0.00038874,0,7.9e-07,0.00078966,0.01067107,6.928e-05
DEL,repeats,2,4,0.00087488,2.5e-06,0.00062045,0.00023561,0.00325983,0.00012957,4.342e-05,0.00014762,0.00089603,0.00342426,0.00028859
