Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9
DEL,C,1,0,0.00485429798222686,4.83382219941788e-28,0.0270452205382253,0.0100611735178443,0.00052115434179649,0.0279444393306356,0.00141092708011036,0.326661339184212,0.00608304970612554
DEL,C,1,1,3.01739223281776e-05,0.000698053168862861,7.57686417680262e-68,0,0.0100189470613867,0.0124479640055401,0.165154381073417,0.152122396124867,1.09848414001165e-129
DEL,C,1,2,0,0,0.007035588077556,0,0.0176275440036178,1.44231506327472e-231,0.214787866613628,0.00972845949944469,0
DEL,C,1,3,0.00247506372917923,0.00184940440879385,4.02534662202076e-237,0,0.0105279177030277,0.00273927873350525,0.0685202076500908,0.0208019518421048,5.51202371148637e-05
DEL,C,1,4,0.00387969123066093,0.000537560992250794,0.00151717511922316,0.00189763737174552,2.41260137133884e-119,0,0.0394520737587613,0.0210416595148206,0.000542175683478713
DEL,C,1,5+,0.014578099044913,0.00340558614708859,0.000887309429212082,0.000170206925641097,0.00132426089970271,2.76063398233105e-05,0.0261201015811365,0.00306519162273413,0.00198420247514135
DEL,T,1,0,0.00792461594284459,0.00132396332066605,0.000171984224723562,0.0234773092502223,0.110720381573545,0.031567521836143,0.00240118030261231,0.10936011475984,0.000309893893158252
DEL,T,1,1,0,0,0,0,0.175224396163885,0.00835721801438096,0,0.0363192733437745,1.1125518211266e-308
DEL,T,1,2,0.00705929825921863,0.000976341568175356,0.012288275831295,0.0138668119712008,0.124303810983401,0.005804547109405,2.80353963673415e-75,0.0786415303517868,0
DEL,T,1,3,0.0202842711560205,0.00238336838890356,0.0245027646123415,0.021067059773968,0.0972127971148216,0.00658334236166007,0,0.0939592119319631,0
DEL,T,1,4,0.047203867597714,0.00449652610318101,0.0197893726668212,0.0117748228534336,0.0518188676116766,1.04165828511669e-93,0,0.0741549918423696,3.51378154302253e-303
DEL,T,1,5+,0.814918348908123,1.28611330996658e-19,3.20932547145239e-18,1.69613302924536e-243,0.0129800302713933,0.012599828947781,0.0126612637890096,2.68619465407197e-35,9.57088055817131e-106
INS,C,1,0,0,0,0,0.683229642181775,0,0,0,0,0
INS,C,1,1,0.000216842975351053,0,0.00181279936977476,0.0187230994333018,0.000208692148027141,0.00122912840477771,0.0398085780386169,0,0
INS,C,1,2,2.18844818866344e-05,0,0,0.000701593050281258,0.00214728842076246,0.000537183824033357,0.0263630789760662,0,0
INS,C,1,3,0.000483174791276896,0.000595092153647131,0,0.0021798376961035,0,0,0.015517012434813,0,0.000209616738552223
INS,C,1,4,0.00293379891774034,0.00170929861179458,0.000185075145020336,0.00116395337724381,0,0,0.0109464516037408,0,0
INS,C,1,5+,0.00903310959083161,0.0243901585513809,0,0,1.35534832051147e-139,1.27921860931147e-197,0.00809725891116995,0.000918718136014168,9.06011471594659e-05
INS,T,1,0,0.00134670620618152,0.00214700477588641,0.0057240261288841,0.0474557352349201,0.010841213501366,0.00292259437980413,0.00822172345513378,0.0193226793085123,0.000554283029478559
INS,T,1,1,0,2.50816519533662e-05,0.000290158797146195,0.0043948745064591,0.00815850185271162,0.00416271084472003,0.129330882134761,0.00650245355562673,0.000396773256529527
INS,T,1,2,0.000674546542557533,9.26917051869175e-05,0.000570719097740051,0.0025945069654262,0.0275496190141125,1.11659202275323e-79,0.096818842808034,0.000479253324528203,0
