Type,Subtype,Indel_size,Repeat_MH_size,signeR.1,signeR.2,signeR.3,signeR.4,signeR.5,signeR.6,signeR.7,signeR.8,signeR.9,signeR.10
DEL,C,1,0,0.00451854045262237,4.51707183434416e-06,0.00708466033315102,0.0344780188618978,0.0679774870307544,0.00440475462792862,0.000113199415264125,0.141859837071864,0.00853209116090413,0.020137603998156
DEL,C,1,1,3.92602372585428e-05,0.000649087036042323,1.73919701180132e-05,0.0249421087631774,0.0177635234971926,0.000162899255415759,3.51256825583375e-05,0.202478666847477,0.000968789414652798,0.00416573337620319
DEL,C,1,2,1.03467456430093e-06,1.2171252402846e-06,2.90516947153855e-06,0.0171121327586503,0.00391137186286277,5.40229536627878e-06,7.15042867970549e-06,0.157661788334882,0.000318357176542836,0.000685518235192415
DEL,C,1,3,0.00244304516646725,0.001953831338757,0.00202274929497151,0.0109907722538437,0.00217462287120027,0.00217586355279181,0.00353044350601211,0.0599211251923973,0.000448985082740824,0.000900606447156951
DEL,C,1,4,0.00376937988082027,0.000595455948944537,0.00391117522650351,0.0021790199531179,0.00242387973720733,0.00311834662672533,0.00361741519601024,0.0403053330270685,0.0019164286466183,0.00125458148112389
DEL,C,1,5+,0.0141917281373166,0.00349165425357718,0.0145975838383025,0.00129393098350714,0.000602442071494981,0.011962245800366,0.0145965862039768,0.0204774284858493,0.00264699977904647,0.00195795495376632
DEL,T,1,0,0.0075225264774087,0.00140604684221229,0.00669224268199814,0.0960569912062219,0.0200807750228721,0.00669813492368659,0.011516775000741,0.0438953577477338,0.0178886119779956,0.0103840370562205
DEL,T,1,1,1.15294508310137e-06,1.23548997141386e-06,2.9835889156761e-06,0.133755465279219,0.00121422116519919,5.11968776438267e-06,6.0263712107197e-06,0.00609459993034696,0.000160346830093013,0.0440220350785478
DEL,T,1,2,0.00669009732785001,0.00111541348889993,0.00405938408213168,0.0977053205626765,0.0146551051692309,0.0057868815294984,0.0149942408920097,0.0218978643623655,0.0115717484333172,0.000755572073212049
DEL,T,1,3,0.0194790186441748,0.00219132707836483,0.0184744365346607,0.0811711190415985,0.0249568200784969,0.0172425385525097,0.0257881435574187,0.0238442899551901,0.0174771525562608,0.0047589608523241
