Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I,ID83J,ID83K,ID83L
DEL,C,1,0,0.00221106,0,0.0005165,7.2e-06,0.02547011,0.09508885,0.02120343,0.40512933,0.00148642,0.00349641,7.616e-05,0.00557834
DEL,C,1,1,7.6e-07,4.584e-05,2.702e-05,0.00404801,0.02033239,0.24484304,0.00087593,0.0941611,0.00502154,0.00022018,0.00015088,1.451e-05
DEL,C,1,2,0,1e-08,2e-08,0.00389529,1.88e-06,0.22511104,0.00468514,1.756e-05,0.00674106,4.299e-05,0.00352585,6.44e-06
DEL,C,1,3,0.00138713,0.00096799,0.01068666,0.01091234,0.00522641,0.07183703,4.03e-06,0.00810343,0.00646237,0.00110211,0.00135388,0.00043399
DEL,C,1,4,0.00257767,0.00029712,0.01009311,2.882e-05,3.82e-06,0.04639163,0.00205485,0.01185482,0.00026997,0.00105282,0.00050152,0.00207071
DEL,C,1,5+,0.00925284,0.0008058,0.05291348,1.344e-05,0,0.02529083,0.00068387,0.00012755,0.00111123,0.00262808,0.00340459,0.00547429
DEL,T,1,0,0.00415857,4.348e-05,0.0329161,0.15061595,0.03698881,0.03039694,0.0001183,0.10629143,0.05961765,0.004157,0.00099049,0.0194025
DEL,T,1,1,0,1e-08,0.00029951,6.609e-05,0.00514856,0.00226207,1e-08,0.00781555,0.49962497,0.00112506,6.444e-05,2e-08
DEL,T,1,2,0.00316264,5.907e-05,0.02097876,0.18801766,0.00283167,0.01077586,0.01086389,0.08454216,0.03292819,0.00102985,0.00046554,0.00978388
DEL,T,1,3,0.00775249,0.00036811,0.08753145,0.13017639,0.00116791,0.00435899,0.01931963,0.12787262,0.06434638,0.00113065,0.0017643,0.0174273
DEL,T,1,4,0.01860578,0.00028895,0.24614679,0.08810777,0,0.00328669,0.01364522,0.08804823,0.00875373,0.00125314,0.00014656,0.01440583
DEL,T,1,5+,0.9116032,0.00018119,0.02270343,0.0173479,0.00026637,0.00048721,0.00026178,0.00793002,0.00152883,0.00112278,0.00269881,0.01489686
INS,C,1,0,0,1e-08,0,8e-08,0.0010712,3.75e-06,0.00118015,1.4e-07,2.9e-07,2.3e-07,2.3e-07,0.54143738
INS,C,1,1,0.00017074,0,3.404e-05,0.00019592,0.00013283,0.00051383,0.00085649,0,4.802e-05,0.00391215,0.13346275,0.02022366
INS,C,1,2,2.77e-06,1e-08,2.44e-06,0.00131065,0.00013942,0.00078722,3.16e-06,4.28e-06,0.00124709,0.00231559,0.08813339,0.00352078
INS,C,1,3,0.00030996,0.00065695,0.00167616,2.688e-05,3.9e-07,0.00611365,2.83e-06,1.49e-06,8.844e-05,0.00102742,0.03179154,0.00261791
INS,C,1,4,0.0014757,0.0011533,0.01205536,6.341e-05,0.00020412,0.00633186,0.00025757,3.13e-06,0.00017357,0.00049817,0.00982822,0.00264601
INS,C,1,5+,0.00342945,0.01546036,0.08009073,0,0,0.00680742,0,1.52e-06,0.00143351,0.00356967,0.01350611,0.00406671
INS,T,1,0,0.00071681,0.00172068,0.00684116,0,0.00275331,0.02002448,0.00660998,0.01208903,0.02729528,0.00250783,0.00319805,0.03398042
INS,T,1,1,0,0,0.00015616,0.00203313,0.00158006,0.05164277,0,0.00447895,0.00462643,0.00684952,0.27889262,0.00945424
INS,T,1,2,0.000222,0,0.00248501,0.03752996,0,0.04288803,0,0,0.00675197,0.00337154,0.1465043,0.00559834
INS,T,1,3,0.00068312,0.00315958,0.00565498,0.02008407,2.578e-05,0.02765331,3.037e-05,0,0.01041016,0.00312818,0.10496697,0.00382623
INS,T,1,4,0.00090396,0.01323872,0.02849213,0.00931717,0.00020798,0.00761062,0.0006537,1.93e-06,0.01711229,0.00365868,0.05664086,0.00788833
INS,T,1,5+,0.00128966,0.94036787,0.1490709,0.00195177,0.00309732,0.00449627,0.00480991,0.00852777,0.00712596,0.01947592,0.0696945,0.12298659
DEL,repeats,2,0,1.928e-05,7.213e-05,0.00030447,0.03261457,0.00744041,0.00658634,0.00067172,0.01121054,0.02701774,0.06925301,8.434e-05,0.0017043
DEL,repeats,2,1,0.00162305,2.837e-05,0.0109922,0.02185271,0.00639409,0.00843133,0.00081034,0.00046459,0.00730937,0.21916159,0.00165671,0.01036509
DEL,repeats,2,2,0.00129192,5.202e-05,0.00454721,0.00066587,2.559e-05,0.01385901,0.00156655,5.83e-05,0.00231015,0.04835289,0.00107227,0.00497482
DEL,repeats,2,3,0.00059179,0.00025361,0.00191992,0,0,0.00709651,0.00020061,0,0,0.00889866,0.00014275,0.00068951
DEL,repeats,2,4,0.00050671,3.44e-06,0.0033622,0.00084299,5.564e-05,0.00305133,0.00019462,0.00021864,0.00016423,0.00307372,0.00016837,0.00025554
DEL,repeats,2,5+,0,0,0,0.01650603,0.00031398,0.00063131,0,0,0.03847192,0.00082687,0.00450816,0.00012761
DEL,repeats,3,0,8.1e-07,2.295e-05,4.298e-05,0.02501768,0.01256515,0.00107597,0.00069512,0.001618,0.00984613,0.00453421,0.00056218,0.00107985
DEL,repeats,3,1,0.00308942,0.00265161,0.02167803,0.00176017,5.022e-05,7.9e-06,0.00474903,0.00121741,0.00134493,0.09624711,0.00277966,0.00796478
