Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.982),ID83D (ID8 0.991),ID83E (ID3 0.993),ID83F (ID6 0.999),ID83G (ID9 0.99),ID83H (ID14 1),ID83I (ID4 0.994)
DEL,C,1,0,0.00394537,2.049e-05,0.00356917,0.04650331,0.10338439,0.03235254,0.30375563,0.00737943,0.01281434
DEL,C,1,1,5.01e-06,0.00050796,0.00839184,0.02390244,0.2147598,0.00353037,0.08862197,0.00016608,0.00311623
DEL,C,1,2,0,0,0.01173791,0.00089483,0.18878408,0.00561877,0.00126311,1.245e-05,0.0010495
DEL,C,1,3,0.00246647,0.00195357,0.00908789,0.00506103,0.06791132,0.00044653,0.01001158,0.00017147,0.00092415
DEL,C,1,4,0.00388054,0.000639,5.764e-05,0.00068002,0.04302647,0.00180177,0.01260814,0.00166347,0.0012054
DEL,C,1,5+,0.01487033,0.00361904,0.0004747,0.00043542,0.02332189,0.00078937,0.00077208,0.00236253,0.00213828
DEL,T,1,0,0.00778229,0.00132604,0.11189432,0.04076768,0.03526294,0.00457321,0.09936023,0.01777953,0.00679582
DEL,T,1,1,0,0,0.13339132,0.05220026,0.00536835,8.868e-05,0.07898617,1.7e-07,0.03450359
DEL,T,1,2,0.00690052,0.00109082,0.13048498,0.0113674,0.01500631,0.01210772,0.07884074,0.0105552,0.00110387
DEL,T,1,3,0.02006247,0.00240044,0.09980097,0.01476093,0.01365566,0.02258142,0.1070632,0.01658828,0.0029711
DEL,T,1,4,0.04697166,0.00442422,0.05560928,0.00382126,0.01079228,0.01802844,0.08490219,0.0132114,0.00121003
DEL,T,1,5+,0.81536822,0.00021607,0.01367611,0.00235485,0.00637309,0.00121563,0.03164978,0.04420066,0.00149006
INS,C,1,0,0,1e-08,4e-08,2.5e-07,1.9e-07,1e-07,2.8e-07,0.46159512,8e-08
INS,C,1,1,0.00016672,0,0.00674942,0.00173414,0.00651102,0.0015403,0.00014931,0.01217687,3.86e-05
INS,C,1,2,1.125e-05,4e-08,0.00681209,0.0011908,0.00460309,4.022e-05,7.137e-05,0.00044961,6.68e-06
INS,C,1,3,0.00051487,0.00052032,0.0007866,6.035e-05,0.00834873,0,7.617e-05,0.00163989,0.00020298
INS,C,1,4,0.00315628,0.00146079,4.54e-05,0.00015252,0.00777586,4.258e-05,0.00029517,0.00169491,0
INS,C,1,5+,0.00910443,0.02444987,5.59e-06,0.00059236,0.0069629,3.528e-05,0.00056986,0.00244413,0.00050339
INS,T,1,0,0.00124627,0.00215329,0.00795132,0.00662081,0.0152292,0.00579518,0.01858081,0.03223181,0.0040056
INS,T,1,1,3e-08,1e-08,0.01872395,0.00506191,0.0590124,0.00022935,0.00612916,0.00249889,0.00022887
INS,T,1,2,0.00070905,3.717e-05,0.03544271,0.00064184,0.05098795,1.281e-05,0.00096538,0.0017427,2.782e-05
INS,T,1,3,0.00115104,0.00407545,0.02351237,0.00155252,0.03077438,0.00046439,0.00179986,0.00095365,0.00026211
INS,T,1,4,0.0037207,0.01651639,0.01506839,0.00158608,0.00782155,0.0009308,0.00236217,0.00489823,0.0008615
INS,T,1,5+,0.00193184,0.89997964,0.00055235,0.01336175,0.00964844,0.00832056,0.01937504,0.23706266,0.00700678
DEL,repeats,2,0,0.00010178,0.00044908,0.02944293,0.01060509,0.00693093,0.00144984,0.01302796,0.00049949,0.07019181
DEL,repeats,2,1,0.00341047,0.0005105,0.01864138,0.00983688,0.01006646,0.00113453,0.00112646,0.00683723,0.22132093
DEL,repeats,2,2,0.00191993,0.00016685,0.0022867,0.0002415,0.01242022,0.00177253,0.00057106,0.00277558,0.05184441
DEL,repeats,2,3,0.00080273,0.00018081,0,2.302e-05,0.00610022,3.013e-05,4.484e-05,0.00054305,0.01040402
DEL,repeats,2,4,0.0008997,0,0.0002092,0,0.00364332,6.5e-07,9.49e-06,6.231e-05,0.00315853
DEL,repeats,2,5+,0,1e-08,0.02571983,0.00054666,0.00041108,0,0.00060252,1.62e-06,0.00125729
DEL,repeats,3,0,1.555e-05,5.349e-05,0.01983426,0.01184702,0.00086758,0.00133598,0.00215071,0.00117912,0.00430528
DEL,repeats,3,1,0.00491393,0.00463122,0.00329121,0.00092558,0.00014461,0.00501131,0.00259811,0.00499476,0.09194733
DEL,repeats,3,2,0.00264099,0.00018734,0.00010897,5.97e-05,4.9e-07,0.0003481,0.0004302,0.00126793,0.0210566
DEL,repeats,3,3,0.00057335,8.785e-05,7.517e-05,8.24e-06,0,0,3.797e-05,0.00051292,0.00385224
DEL,repeats,3,4,0,4e-08,0.00697321,0.00016097,6.663e-05,1e-08,0.00016901,1.66e-06,0.00014105
DEL,repeats,3,5+,0,2e-08,0.01010588,0.00022878,0.00010373,0,0.00025788,3e-08,0.00045485
DEL,repeats,4,0,1.467e-05,2.034e-05,0.01246951,0.00710771,0.00019334,0.00240719,0.00114059,3.539e-05,0.00674267
DEL,repeats,4,1,0.00210372,0.00059652,0.00070169,0.00142439,0.00055817,0.00258391,0.00313344,0.00071045,0.060737
DEL,repeats,4,2,0.00045851,0,0,0,1.2e-07,0.00011157,6.2e-06,0.00060435,0.01041116
DEL,repeats,4,3,1.33e-06,0,0.0044734,8.464e-05,4.814e-05,1e-08,0.00017519,1.894e-05,0.00398576
DEL,repeats,4,4,0,3e-08,0.00553627,0.00012478,6.916e-05,1e-08,0.00014686,2.08e-06,0.00018556
DEL,repeats,4,5+,0.00016171,0,0.00139361,3.76e-06,0,0,1.997e-05,1.97e-06,0.00024398
DEL,repeats,5+,0,0,0,0.01490262,0.24453479,0.00145552,0.02703018,0.00280522,0.00361935,0.0031614
