"","sigs","sigs_prev","sigs_prev_prop","mSigHdp","SigProfilerExtractor","Remarks"
"indel_set1.ID1","ID1",1000,0.893655049151028,0,0,""
"indel_set1.ID8","ID8",840,0.750670241286863,0,0,""
"indel_set1.ID5","ID5",719,0.642537980339589,0,3,"Signature missed by SigProfilerExtractor in 3 runs; "
"indel_set1.ID2","ID2",639,0.571045576407507,0,0,""
"indel_set1.ID3","ID3",405,0.361930294906166,0,0,""
"indel_set1.ID9","ID9",380,0.339588918677391,0,0,""
"indel_set1.ID6","ID6",230,0.205540661304736,0,0,""
"indel_set1.ID11","ID11",121,0.108132260947274,0,5,"Signature missed by SigProfilerExtractor in all 5 runs; "
"indel_set1.ID4","ID4",92,0.0822162645218946,0,0,""
"indel_set1.ID13","ID13",76,0.0679177837354781,0,2,"Signature missed by SigProfilerExtractor in 2 runs; "
"indel_set1.ID14","ID14",49,0.0437890974084004,0,0,""
"SBS_set1.SBS5","SBS5",508,0.940740740740741,0,5,"Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set1.SBS1","SBS1",502,0.92962962962963,0,0,""
"SBS_set1.SBS40","SBS40",204,0.377777777777778,0,0,""
"SBS_set1.SBS2","SBS2",180,0.333333333333333,0,0,""
"SBS_set1.SBS13","SBS13",177,0.327777777777778,0,0,""
"SBS_set1.SBS18","SBS18",156,0.288888888888889,0,0,""
"SBS_set1.SBS17a","SBS17a",108,0.2,0,0,""
"SBS_set1.SBS17b","SBS17b",107,0.198148148148148,0,0,""
"SBS_set1.SBS3","SBS3",105,0.194444444444444,0,0,""
"SBS_set1.SBS4","SBS4",57,0.105555555555556,0,0,""
"SBS_set1.SBS7d","SBS7d",53,0.0981481481481482,0,0,""
"SBS_set1.SBS7a","SBS7a",52,0.0962962962962963,5,0,"Signature missed by mSigHdp in all 5 runs; "
"SBS_set1.SBS7b","SBS7b",51,0.0944444444444444,5,0,"Signature missed by mSigHdp in all 5 runs; "
"SBS_set1.SBS7c","SBS7c",47,0.087037037037037,0,0,""
"SBS_set1.SBS12","SBS12",36,0.0666666666666667,0,4,"Signature missed by SigProfilerExtractor in 4 runs; "
"SBS_set1.SBS29","SBS29",23,0.0425925925925926,0,5,"Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set1.SBS41","SBS41",17,0.0314814814814815,0,5,"Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set1.SBS16","SBS16",13,0.0240740740740741,0,5,"Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set1.SBS44","SBS44",11,0.0203703703703704,0,0,""
"SBS_set1.SBS28","SBS28",9,0.0166666666666667,0,0,""
"SBS_set1.SBS38","SBS38",5,0.00925925925925926,0,5,"Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set1.SBS22","SBS22",3,0.00555555555555556,0,2,"Signature missed by SigProfilerExtractor in 2 runs; "
"SBS_set1.SBS35","SBS35",3,0.00555555555555556,5,5,"Signature missed by mSigHdp in all 5 runs; Signature missed by SigProfilerExtractor in all 5 runs; "
"indel_set2.ID1","ID1",1926,0.953937592867756,0,0,""
"indel_set2.ID2","ID2",1419,0.702823179791976,0,0,""
"indel_set2.ID8","ID8",1233,0.610698365527489,0,0,""
"indel_set2.ID5","ID5",1128,0.558692421991085,0,5,"Signature missed by SigProfilerExtractor in all 5 runs; "
"indel_set2.ID9","ID9",646,0.319960376423972,0,0,""
"indel_set2.ID3","ID3",541,0.267954432887568,0,0,""
"indel_set2.ID6","ID6",313,0.155027241208519,0,0,""
"indel_set2.ID11","ID11",193,0.0955918771669143,0,0,""
"indel_set2.ID4","ID4",145,0.0718177315502724,0,0,""
"indel_set2.ID13","ID13",73,0.0361565131253096,0,0,""
"indel_set2.ID14","ID14",56,0.0277365032194156,0,0,""
"indel_set2.ID12","ID12",51,0.025260029717682,0,5,"Signature missed by SigProfilerExtractor in all 5 runs; "
"indel_set2.ID10","ID10",24,0.011887072808321,0,5,"Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set2.SBS5","SBS5",1049,0.971296296296296,0,5,"Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set2.SBS1","SBS1",1031,0.95462962962963,0,0,""
"SBS_set2.SBS40","SBS40",513,0.475,0,4,"Signature missed by SigProfilerExtractor in 4 runs; "
"SBS_set2.SBS2","SBS2",354,0.327777777777778,0,0,""
"SBS_set2.SBS13","SBS13",329,0.30462962962963,0,0,""
"SBS_set2.SBS18","SBS18",233,0.215740740740741,0,1,"Signature missed by SigProfilerExtractor in 1 runs; "
"SBS_set2.SBS3","SBS3",179,0.165740740740741,0,1,"Signature missed by SigProfilerExtractor in 1 runs; "
"SBS_set2.SBS17b","SBS17b",161,0.149074074074074,0,0,""
"SBS_set2.SBS17a","SBS17a",142,0.131481481481481,0,0,""
"SBS_set2.SBS9","SBS9",53,0.0490740740740741,0,4,"Signature missed by SigProfilerExtractor in 4 runs; "
"SBS_set2.SBS7a","SBS7a",52,0.0481481481481481,2,4,"Signature missed by mSigHdp in 2 runs; Signature missed by SigProfilerExtractor in 4 runs; "
"SBS_set2.SBS7d","SBS7d",51,0.0472222222222222,0,4,"Signature missed by SigProfilerExtractor in 4 runs; "
"SBS_set2.SBS7b","SBS7b",50,0.0462962962962963,5,0,"Signature missed by mSigHdp in all 5 runs; "
"SBS_set2.SBS4","SBS4",49,0.0453703703703704,0,0,""
"SBS_set2.SBS12","SBS12",47,0.0435185185185185,0,0,""
"SBS_set2.SBS7c","SBS7c",46,0.0425925925925926,0,2,"Signature missed by SigProfilerExtractor in 2 runs; "
"SBS_set2.SBS36","SBS36",31,0.0287037037037037,0,4,"Signature missed by SigProfilerExtractor in 4 runs; "
"SBS_set2.SBS29","SBS29",26,0.0240740740740741,2,5,"Signature missed by mSigHdp in 2 runs; Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set2.SBS41","SBS41",22,0.0203703703703704,0,5,"Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set2.SBS44","SBS44",21,0.0194444444444444,0,0,""
"SBS_set2.SBS30","SBS30",20,0.0185185185185185,5,5,"Signature missed by mSigHdp in all 5 runs; Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set2.SBS37","SBS37",15,0.0138888888888889,0,5,"Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set2.SBS8","SBS8",13,0.012037037037037,0,5,"Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set2.SBS6","SBS6",12,0.0111111111111111,5,5,"Signature missed by mSigHdp in all 5 runs; Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set2.SBS28","SBS28",12,0.0111111111111111,0,5,"Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set2.SBS34","SBS34",10,0.00925925925925926,0,5,"Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set2.SBS39","SBS39",10,0.00925925925925926,5,5,"Signature missed by mSigHdp in all 5 runs; Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set2.SBS38","SBS38",8,0.00740740740740741,0,5,"Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set2.SBS26","SBS26",7,0.00648148148148148,2,5,"Signature missed by mSigHdp in 2 runs; Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set2.SBS16","SBS16",6,0.00555555555555556,1,5,"Signature missed by mSigHdp in 1 runs; Signature missed by SigProfilerExtractor in all 5 runs; "
"SBS_set2.SBS22","SBS22",3,0.00277777777777778,0,4,"Signature missed by SigProfilerExtractor in 4 runs; "
"SBS_set2.SBS35","SBS35",2,0.00185185185185185,5,5,"Signature missed by mSigHdp in all 5 runs; Signature missed by SigProfilerExtractor in all 5 runs; "
