Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.953),ID83D (ID8 0.988),ID83E (ID3 0.992),ID83F (ID6 0.998),ID83G (ID9 0.993),ID83H (ID4 0.991),ID83I (ID14 1)
DEL,C,1,0,0.00291569,5.31e-06,0.00606807,0.04157868,0.10796918,0.02724357,0.33212512,0.01023667,0.00616235
DEL,C,1,1,5.61e-06,0.00024189,0.00856697,0.02067629,0.22018215,0.00278748,0.09341298,0.00291633,3.468e-05
DEL,C,1,2,0,0,0.00996045,0.00062683,0.19296032,0.00410753,0.00077495,0.0004322,1e-08
DEL,C,1,3,0.00247211,0.00154366,0.00805807,0.00532023,0.07068374,3.414e-05,0.01206674,0.0009171,0.00058947
DEL,C,1,4,0.00365491,0.00081311,0.00016908,0.00065649,0.04268979,0.00179342,0.01106881,0.00210233,0.00174121
DEL,C,1,5+,0.01473753,0.00323043,9.72e-05,0.00220761,0.02327943,0.00072196,0.0029516,0.00217203,0.00298642
DEL,T,1,0,0.00750933,0.00141897,0.10868118,0.04131656,0.03593033,0.00371511,0.09874934,0.00850839,0.01629863
DEL,T,1,1,0,0,0.18406137,0.03065398,0.00443886,2.904e-05,0.01056824,0.04476873,0
DEL,T,1,2,0.00687311,0.00095791,0.1213874,0.01125973,0.01765382,0.0118585,0.08480187,0.00083233,0.00947204
DEL,T,1,3,0.02015731,0.00204703,0.09819587,0.01326874,0.0140231,0.02217359,0.11087059,0.00402729,0.01833515
DEL,T,1,4,0.04734167,0.00347368,0.05054461,0.00664565,0.01121258,0.01752633,0.0918693,0.00165357,0.0135275
DEL,T,1,5+,0.81884629,0.00079843,0.00284885,0.00051936,0.00087765,0.0001481,0.01705379,0.0013459,0.04918972
INS,C,1,0,0,0,8.2e-07,1.5e-07,1.3e-07,2.91e-06,1.7e-07,2.1e-07,0.46353209
INS,C,1,1,0.00023643,2.8e-07,0.0067831,0.00235475,0.00484362,0.00127121,0.00106698,6.56e-06,0.01117875
INS,C,1,2,1.501e-05,0,0.00630817,0.0014566,0.00431668,0.00012424,0.00088305,1.511e-05,0.00049428
INS,C,1,3,0.00046842,0.00069278,0.00089645,0.00033111,0.00801075,4.817e-05,0.00058011,2.886e-05,0.00184708
INS,C,1,4,0.00285137,0.00155724,4.61e-06,0.00142489,0.00735993,0.00011151,0.00098578,1.877e-05,0.00121737
INS,C,1,5+,0.00848582,0.02213575,0,0.0075333,0.00604855,1.52e-06,0.0076561,7.955e-05,0.00137016
INS,T,1,0,0.0012429,0.00212866,0.01199559,0.00604556,0.01497072,0.00534,0.01166849,0.00507648,0.03239631
INS,T,1,1,6e-08,7e-07,0.01826102,0.005063,0.05822399,0.00026128,0.00726114,0.00047467,0.00282683
INS,T,1,2,0.00068412,0.00011176,0.03148767,0.00132102,0.05160371,0,0.00316527,2.425e-05,0.00161131
INS,T,1,3,0.00118538,0.00373651,0.0216421,0.00248987,0.03043663,6.524e-05,0.00311076,0.00019932,0.00051423
INS,T,1,4,0.00309024,0.01558002,0.0149237,0.0084914,0.00716494,0.00086365,0.00506318,0.00107959,0.00514677
INS,T,1,5+,0.00225052,0.90626308,0.00044759,0.04723619,0.00111064,0.0037378,0.03175303,0.00489894,0.23623697
DEL,repeats,2,0,0.0001389,0.00019284,0.02882574,0.00935144,0.00648312,0.00138071,0.01274583,0.06788145,0.00095136
DEL,repeats,2,1,0.0035673,8.544e-05,0.01441212,0.00535752,0.00974825,0.0004576,0.00199901,0.22432046,0.00632612
DEL,repeats,2,2,0.00177781,0.00011515,0.00199266,0.00023801,0.01188622,0.00116484,0.0005027,0.04994463,0.00198119
DEL,repeats,2,3,0.00076525,0.00022825,0,0.00011534,0.00615661,0.00021735,0.00012567,0.00905942,0.00042985
DEL,repeats,2,4,0.0009514,6.66e-06,0.00037709,0.00010859,0.00328363,0.00014261,0.00012874,0.00273417,1.005e-05
DEL,repeats,2,5+,0,0,0.02324077,0.00085554,0.00028002,9.86e-06,0.00117779,0.00183228,3e-08
DEL,repeats,3,0,5.6e-07,0.00011394,0.01874782,0.01157454,0.00099083,0.00188501,0.00286344,0.00459117,0.00105836
DEL,repeats,3,1,0.00500483,0.00378601,0.00214408,0.00258441,6.7e-05,0.00490737,0.00230174,0.08578641,0.0047398
DEL,repeats,3,2,0.00237724,0.00049974,9.538e-05,0.00066525,2.074e-05,0.00019569,0.00173127,0.01826444,0.00119981
DEL,repeats,3,3,0.00046465,0.00038363,0.00036513,0.00028801,2.049e-05,8.923e-05,0.00047993,0.00362765,0.00041523
DEL,repeats,3,4,0,2e-08,0.00645191,0.00022186,7.66e-06,2.92e-06,0.00037465,0.00025458,1.061e-05
DEL,repeats,3,5+,0,1e-08,0.0094683,0.00039297,7.064e-05,9.27e-06,0.00054945,0.0004095,1e-08
DEL,repeats,4,0,3.01e-06,5.551e-05,0.01195211,0.00650076,0.00056125,0.002426,0.00139015,0.00740464,0.00025658
DEL,repeats,4,1,0.00224222,0.00044732,0.00020433,0.00081058,0.00029785,0.0024957,0.00382053,0.05859652,0.00077833
DEL,repeats,4,2,0.00053683,1.2e-06,0,2.231e-05,5.17e-06,0.00020879,8.71e-06,0.01217502,0.00057496
DEL,repeats,4,3,4.89e-06,6e-08,0.00400983,0.00012664,1.063e-05,3.507e-05,0.00022823,0.0046571,1.672e-05
DEL,repeats,4,4,0,1e-08,0.00460669,0.0001555,5.017e-05,0.00014388,0.00028063,0.00073526,4.23e-06
DEL,repeats,4,5+,0.00023436,2.479e-05,0.001755,9.216e-05,0.00014796,0,0.00011836,0.00065671,2.033e-05
DEL,repeats,5+,0,0,0,0.01891317,0.24605917,0.00235602,0.02808695,0.00061823,0.00456758,0.00224885
DEL,repeats,5+,1,0.00305862,1.98e-05,9.104e-05,0.00015553,0,0.00703182,7.772e-05,0.0139197,0.00012952
DEL,repeats,5+,2,0.00044847,7.514e-05,0.00036469,0.00045009,3.607e-05,0.00032376,0.00019962,0.00218957,2.595e-05
DEL,repeats,5+,3,0.00016177,1.83e-06,0.00014732,6.78e-06,1.511e-05,0.00016992,2.227e-05,0.00143742,0.00016824
DEL,repeats,5+,4,5.115e-05,1.362e-05,9.79e-05,9.93e-05,5.208e-05,6.179e-05,1.623e-05,0.000143,2.17e-06
DEL,repeats,5+,5+,1.658e-05,1.328e-05,0.00062723,5.115e-05,2.911e-05,0,3.959e-05,0,0.00018266
