Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.943),ID83D (ID8 0.991),ID83E (ID3 0.992),ID83F (ID6 0.999),ID83G (ID9 0.993),ID83H (ID4 0.995),ID83I (ID14 1)
DEL,C,1,0,0.00276777,8.14e-06,0.00558689,0.04352429,0.10733585,0.0275339,0.32155664,0.01103028,0.00674134
DEL,C,1,1,6.64e-06,0.00022753,0.00849071,0.02138929,0.21954849,0.00278197,0.0893935,0.00356735,3.079e-05
DEL,C,1,2,0,0,0.00996048,0.00041124,0.19223811,0.00413869,0.00105043,0.00053346,0
DEL,C,1,3,0.00252195,0.00149418,0.00785337,0.0053644,0.07028995,3.031e-05,0.01195022,0.00115047,0.00054128
DEL,C,1,4,0.00366868,0.00077527,0.00017855,0.00090944,0.04263868,0.00183902,0.01089389,0.00230951,0.00174356
DEL,C,1,5+,0.0149224,0.0030714,9.752e-05,0.00245822,0.02319318,0.0007056,0.00277171,0.00268768,0.00297536
DEL,T,1,0,0.00753588,0.00147642,0.10699523,0.04017138,0.0363451,0.00397259,0.09571241,0.00863879,0.01625624
DEL,T,1,1,0,0,0.19719545,0.01675765,0.00421838,1.636e-05,0.01559971,0.03024637,0
DEL,T,1,2,0.0068641,0.00112561,0.11844211,0.00936944,0.01812216,0.01210274,0.08224527,0.00197191,0.00955179
DEL,T,1,3,0.02025362,0.00207166,0.09704547,0.01089994,0.01411273,0.02241022,0.10838744,0.0040312,0.01856589
DEL,T,1,4,0.04755666,0.00359193,0.04951203,0.0054624,0.01150864,0.01806278,0.08889538,0.00237872,0.01352487
DEL,T,1,5+,0.81785234,0.00045253,0.00253642,0.0084877,0.00082464,9.483e-05,0.01686904,0.01076674,0.04850075
INS,C,1,0,0,0,7.3e-07,1.4e-07,1.2e-07,2.24e-06,1.42e-06,3.361e-05,0.46014289
INS,C,1,1,0.00023132,2.63e-06,0.00651247,0.00227068,0.0048861,0.00126902,0.0011608,0.00010017,0.01088817
INS,C,1,2,1.528e-05,0,0.00605566,0.00132285,0.00443675,0.00012415,0.00087378,9.194e-05,0.00052096
INS,C,1,3,0.00047629,0.00067624,0.00082699,0.00033341,0.00807413,4.552e-05,0.00085707,5.654e-05,0.00184163
INS,C,1,4,0.00287815,0.0014875,6.2e-07,0.0012132,0.00732472,0.00011508,0.00156219,0.00019872,0.00116385
INS,C,1,5+,0.00853755,0.02177817,0,0.00807763,0.00585853,1.27e-06,0.00941049,0.00274897,0.00128461
INS,T,1,0,0.00125508,0.00206061,0.01298104,0.00554318,0.01478927,0.0053776,0.01149991,0.0042304,0.03212033
INS,T,1,1,1.6e-07,8.2e-07,0.01728904,0.00490255,0.05869654,0.00027213,0.00714845,0.00061416,0.00268763
INS,T,1,2,0.00068154,0.00012119,0.0303092,0.00070191,0.05213847,0,0.00358667,0.00046771,0.0016866
INS,T,1,3,0.00117842,0.00352275,0.02102769,0.00247846,0.03060637,7.006e-05,0.00503526,0.00034616,0.00051314
INS,T,1,4,0.0030495,0.01474698,0.01469917,0.00932353,0.00714082,0.00086105,0.01356165,0.00215231,0.0049957
INS,T,1,5+,0.0024521,0.90874338,0.00034803,0.03788262,0.0014087,0.00326798,0.03028092,0.007102,0.24086709
DEL,repeats,2,0,0.00013602,0.00017052,0.02926097,0.00902003,0.00642795,0.00131734,0.01275825,0.06666556,0.00101302
DEL,repeats,2,1,0.00355215,0.00010097,0.01493431,0.00584026,0.00996124,0.00041924,0.00233022,0.2234838,0.00635135
