Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.926),ID83D (ID8 0.991),ID83E (ID3 0.993),ID83F (ID6 0.999),ID83G (ID9 0.992),ID83H (ID4 0.992),ID83I (ID14 1)
DEL,C,1,0,0.00269396,4.04e-06,0.00886702,0.04472375,0.11133306,0.0281126,0.32006358,0.01123669,0.00650757
DEL,C,1,1,7.62e-06,0.00019426,0.00921732,0.02194341,0.21823717,0.00279196,0.0898008,0.00330964,4.848e-05
DEL,C,1,2,0,0,0.00989247,0.00050979,0.18946546,0.00412353,0.00171049,0.00071552,0
DEL,C,1,3,0.00251001,0.00158941,0.00782488,0.00516379,0.0696933,4.142e-05,0.01153155,0.00098622,0.00053886
DEL,C,1,4,0.00366644,0.00086211,0.00036764,0.00070495,0.04234774,0.00188167,0.01031227,0.00223527,0.00168531
DEL,C,1,5+,0.01480805,0.00323061,0.00010365,0.00192556,0.02297356,0.00072294,0.00160366,0.00221765,0.00283278
DEL,T,1,0,0.00751761,0.00145554,0.10507321,0.04043678,0.03686326,0.00361691,0.09979912,0.0103919,0.01603344
DEL,T,1,1,0,0,0.21578713,0.01223837,0.00499859,1.293e-05,0.0117256,0.03919064,0
DEL,T,1,2,0.00683367,0.00114082,0.11373961,0.01009804,0.01905448,0.01227091,0.08683694,0.00431912,0.00921852
DEL,T,1,3,0.02011837,0.00221799,0.09569118,0.01087467,0.01565131,0.02267222,0.11090186,0.00585323,0.01866989
DEL,T,1,4,0.04735126,0.00361929,0.04776915,0.00539658,0.01265927,0.01813977,0.0901236,0.00292372,0.01342073
DEL,T,1,5+,0.81834364,0.00048762,0.00253404,0.00051438,0.00078859,9.815e-05,0.01741935,0.00249668,0.04952819
INS,C,1,0,0,0,6e-08,1.4e-07,1.1e-07,8e-08,1.11e-06,3.11e-06,0.46019053
INS,C,1,1,0.00023676,1.1e-07,0.00609974,0.00235928,0.00469854,0.00118623,0.00155564,0.00020784,0.01099351
INS,C,1,2,1.489e-05,1.2e-07,0.00577622,0.00131887,0.00428357,0.00012317,0.00128196,0.00020096,0.00050962
