Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID2 0.999),hdp.2 (ID5 0.997),hdp.3 (ID6 0.999),hdp.4 (ID1 1),hdp.5 (ID14 0.978),hdp.6 (ID9 0.999),hdp.7 (ID8 0.999),hdp.8 (ID13 0.998),hdp.9 (ID4 0.99),hdp.10 (ID3 0.997),hdp.11 (ID11 0.969)
DEL,C,1,0,0.00317763657570122,0.0211438345937526,0.0295498402542614,0.000512200706590721,0.01113486843127,0.336013127490869,0.0342437986895766,0.0469192090879582,0.012415937696645,0.110474878601789,0.0063821550610359
DEL,C,1,1,3.899449759838e-05,0.0300500497799696,0.0061602800693993,0.000524658580682114,0.00268890326644587,0.0961940652135828,0.0210963300331744,0.0142566796327467,0.00233251298157337,0.213269904527352,0.0142652399125683
DEL,C,1,2,1.06250326222976e-06,0.0275532487622065,0.00807940328786845,1.79641167837208e-06,0.000447427213107212,0.00275580592269989,0.00247409284631603,0.00761247463685743,0.00335702068178208,0.188537877556402,0.002269893489752
DEL,C,1,3,0.00163820957404593,0.0138188385463067,0.000970068869018517,0.00179656372575552,0.00100369451247943,0.0114474157631367,0.00578665296631182,0.00458399947120416,0.00135726844414891,0.0674523820035235,0.00238318738453757
DEL,C,1,4,0.00236062016918744,0.00265772742213133,0.00261266606601993,0.000839699507742466,0.00220363306165605,0.0130671769493401,0.0014478381257309,0.00403572381680257,0.00228586165042123,0.0434036334589031,0.00309189461366714
DEL,C,1,5+,0.0105839177690974,0.0023326145577815,0.00189999144130783,0.00306964583020441,0.00425974908692401,0.000858630387353149,0.000598517844717777,0.00128440686682556,0.00223650472957839,0.0246524078111571,0.000835198441408084
DEL,T,1,0,0.00409394924900403,0.10946420267099,0.00320697210939373,0.00176881726826136,0.0185750201483934,0.107980734902911,0.0332443998326467,0.0398599552038089,0.00736363737549281,0.0286113013562917,0.0237428991100045
DEL,T,1,1,2.2580229101009e-07,0.0971220060513637,0.00110190330535106,1.79828880656265e-06,0.000685556386989428,0.0389413617682754,0.0100001899455929,0.513275218214826,0.003642835426386,0.00929429713364977,0.00838286839296603
DEL,T,1,2,0.00481928341407611,0.122401009207885,0.00989292306007531,0.000730503206640836,0.00710262831278183,0.0852813062294846,0.00840721230841694,0.0212055608619477,0.00484237602797173,0.00823773108503052,0.0323351649405252
DEL,T,1,3,0.013619202627365,0.0826754198334774,0.021538820860231,0.00268605843871854,0.01537115605472,0.103834746555952,0.00961228894811029,0.054649124961461,0.00703644853903447,0.0122727902524046,0.00564863236311618
DEL,T,1,4,0.0344456004516628,0.0458937028110077,0.0170912949154036,0.00558651432514141,0.0116219852583209,0.0920135269637326,0.0013178487514263,0.014097738355411,0.00465897187136357,0.0123838318294636,0.00822111665548843
DEL,T,1,5+,0.837004111841813,0.0267034499601727,0.00334040970796344,0.00231000333695201,0.0411203462363979,0.00389974608374031,0.0108686077828782,0.00632750538630289,0.002336048999783,0.00946598728633465,0.00966124854744909
INS,C,1,0,2.03245316521955e-07,0.000550179151247576,0.00218599841560856,1.56114494515442e-06,0.532679831585667,0.000205281038141235,0.00260840090793514,0.00289981534324184,0.000439698506764959,0.00261823344965336,0.000726687164243887
INS,C,1,1,0.00010631822969257,0.00164801209563846,0.00176743151213065,4.27728686596437e-05,0.0160546190358281,0.000202704636447964,0.00213416688389847,0.00221810930100366,0.000254754039194271,0.00142339857951703,0.114551339708202
INS,C,1,2,1.0033202724645e-05,0.00320656621125682,0.00013292798408372,1.1295931741432e-05,0.000731236886056709,0.000366852293638342,0.00151065909755436,0.00189600886836477,0.000168563595334379,0.00186939828649153,0.0628485135195802
