Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID1 1),ID83B (ID5 0.957),ID83C (ID2 1),ID83D (ID8 0.99),ID83E (ID3 0.982),ID83F (ID6 0.998),ID83G (ID9 0.988),ID83H (ID13 0.971),ID83I (ID4 0.991),ID83J (ID14 0.982)
DEL,C,1,0,0,0.00277797,0.00203382,0.03554742,0.09272151,0.02632718,0.31524683,0.01010951,0.01019847,0.00467831
DEL,C,1,1,2.28e-06,0.01244316,0,0.02055118,0.23266804,0.00121281,0.08543106,0.00274298,0.00022598,0.00012333
DEL,C,1,2,0,0.01441153,0,0,0.2100114,0.00348221,0.00204906,0.00344408,0.00161711,0
DEL,C,1,3,0.00141197,0.00953909,0.00261905,0.00570627,0.07484014,2.82e-06,0.01103847,0.00735895,0.00076447,0.00054242
DEL,C,1,4,0.00045935,1.573e-05,0.00360537,0.00138931,0.04591933,0.00177647,0.01327372,0.00267538,0.00197345,0.00144245
DEL,C,1,5+,0.00158063,0.00016345,0.01421843,0.00469879,0.02682749,0.0010249,0.00531205,0.00993545,0.00201113,0.00342554
DEL,T,1,0,0.00065378,0.12877539,0.0077431,0.0356052,0.02431094,0.00109128,0.10065356,0.03388265,0.0045273,0.01705776
DEL,T,1,1,3e-08,0.07210035,1e-08,0.00056595,0.00138007,1e-08,0.00917633,0.42489795,0.00698572,1e-08
DEL,T,1,2,3.754e-05,0.15137129,0.00710847,0.00464768,0.00330009,0.00919915,0.07617649,0.01786388,0.0022468,0.00758808
DEL,T,1,3,0.00134416,0.10808499,0.0193925,0.00376598,0.00347874,0.02144035,0.10130326,0.0498868,0.00453897,0.01625008
DEL,T,1,4,0.00274394,0.05948856,0.0435537,0.00314488,0.0035928,0.01609143,0.10052098,0.03255356,0.00268862,0.01227181
DEL,T,1,5+,0.00013179,0.00405472,0.83745893,0.00134604,0.00117627,5.745e-05,0.00268943,0.00224838,0.00028678,0.06161799
INS,C,1,0,1e-08,4e-08,1e-08,1.5e-07,1.2e-07,1e-08,2.2e-07,6e-08,9e-08,0.53731939
INS,C,1,1,1.954e-05,0.00931748,0.00016896,0.0019912,0.0047405,0.0014621,0.00074374,0.00026858,2.875e-05,0.01332024
INS,C,1,2,1e-08,0.00780464,5.25e-06,0.00150522,0.00376553,1.93e-05,0.00052564,0.00054369,5.165e-05,0.00038187
INS,C,1,3,0.00059487,0.00139926,0.00018537,0.00012749,0.00842142,0,0.00089028,0.00160344,0.00064953,0.00051513
INS,C,1,4,0.00099999,5.799e-05,0.00228328,0.00053936,0.00849249,0.00029768,0.00191006,0.00378443,0,0.00082378
INS,C,1,5+,0.01658703,0,0.00565618,0.00603319,0.00811774,1.084e-05,0.02380265,0.05193944,0.00046285,0.00381006
INS,T,1,0,0.00210332,0.00328619,0.00071647,0.00380188,0.01792352,0.00657078,0.01312825,0.02963177,0.00418667,0.03827822
INS,T,1,1,0,0.02397144,0,0.00338153,0.06025446,0.00010448,0.00779281,0.00074656,0.00044783,0.00221196
INS,T,1,2,5.2e-07,0.0403491,0.00050483,6.016e-05,0.0546019,0,0.00195716,0.00303781,0,0.00123874
INS,T,1,3,0.00275253,0.02801118,0.00071965,0.0006353,0.03095715,4.756e-05,0.00410558,0.01557672,0.00035945,0.00044565
INS,T,1,4,0.01248869,0.0156571,0.00200177,0.00236001,0.00812637,0.00045557,0.01517431,0.03527431,0.00068222,0.0042145
INS,T,1,5+,0.93107474,0.00049913,0.0043885,0.00249778,0.00266563,0.00486973,0.02544806,0.04634655,0.00101972,0.15980481
DEL,repeats,2,0,1.925e-05,0.0247308,0.00013658,0.00711662,0.00866841,0.00016444,0.01118414,0.01898111,0.09333621,0.00023562
DEL,repeats,2,1,0.00013727,0.01736221,0.00260192,0.00744429,0.01174316,0.00032326,0.00101547,0.0048731,0.20095349,0.00522726
DEL,repeats,2,2,0.00043274,0.00201631,0.0014864,0.00018123,0.01325266,0.00157255,0.00035397,0.0017338,0.04680421,0.00215092
DEL,repeats,2,3,8.404e-05,0,0.00111057,0,0.00636879,0.00033981,6.78e-05,1.88e-05,0.01044573,9.594e-05
DEL,repeats,2,4,2.62e-06,0.00054718,0.00101632,0.00027084,0.00327996,0.00010444,0.00014941,2.492e-05,0.00336515,0.00038629
DEL,repeats,2,5+,0,0.02925257,1e-08,3.5e-06,0.00029262,2.4e-07,0.00018195,0.00133606,0.00142729,0
DEL,repeats,3,0,4.72e-06,0.02067547,4.247e-05,0.01348683,0.0013069,0.0007337,0.00142595,0.00420886,0.00506337,0.00124412
DEL,repeats,3,1,0.00268043,0.0008678,0.00337803,0.00128649,2.164e-05,0.00396597,0.00691813,0.01324972,0.10687412,0.00386195
DEL,repeats,3,2,0.00055246,0.00025809,0.00189081,0.00013517,5.11e-06,0.000564,0.00099843,0.00164627,0.01444898,0.00150258
DEL,repeats,3,3,0.00019185,0.00043799,0.00042638,0.00034594,4.093e-05,0.00012422,0.00071008,0.00113788,0.00383635,0.00014366
DEL,repeats,3,4,1e-08,0.00720872,2e-08,0,3.461e-05,1e-08,5.596e-05,0.00079406,0.0005866,9.25e-06
DEL,repeats,3,5+,1e-08,0.01115233,1e-08,1e-08,0.00016594,3.72e-05,5.621e-05,0.00056237,0.00048296,6.948e-05
DEL,repeats,4,0,3.74e-05,0.01270193,0,0.00698285,0.00024532,0.0023655,0.00068422,0.00415862,0.00621804,0.00025989
DEL,repeats,4,1,0.00033603,0.00013048,0.00161816,0.00067632,0.00116103,0.00244783,0.00296887,0.00198878,0.05816476,0.0001036
DEL,repeats,4,2,0,0,0.00038674,1.44e-06,0,0.00053163,2.1e-06,2.124e-05,0.01118563,0.00044702
DEL,repeats,4,3,0,0.00460267,1e-08,1.6e-06,6.784e-05,0.00012136,3.66e-05,0.00040582,0.00382057,0
DEL,repeats,4,4,3.22e-06,0.00586963,0,6.535e-05,0.00015405,1.823e-05,0,0.00069241,0.00022224,0
DEL,repeats,4,5+,5.679e-05,0.00181758,6.566e-05,2.378e-05,4.789e-05,0.00010939,2.045e-05,0.00027537,0.00074673,0.00011428
DEL,repeats,5+,0,0,0.01729403,0,0.29798814,0.00096925,0.01217907,0.00053484,0.00599009,0.00313903,0.00063559
DEL,repeats,5+,1,7e-08,1.209e-05,0.0034109,4.54e-06,0,0.00738368,9.385e-05,0.00088262,0.01224106,0.00023747
DEL,repeats,5+,2,9.585e-05,0.00025563,0.00048057,0.0003051,3.622e-05,0.00043882,0.00010734,0.00032454,0.00274816,8e-08
DEL,repeats,5+,3,5.46e-06,0.00024056,8.458e-05,3.062e-05,1.683e-05,0.00017713,0.00014277,0.00011701,0.00096968,6.421e-05
DEL,repeats,5+,4,1.2e-06,6.013e-05,6.981e-05,0,4.254e-05,9.084e-05,7.488e-05,4.168e-05,0.00012897,3.392e-05
DEL,repeats,5+,5+,2.16e-06,0.00082846,7.163e-05,0,4.17e-06,0,3.272e-05,0.00021053,0.00011731,4.07e-06
INS,repeats,2,0,0.00063172,0.00683247,0.00010463,0.0017071,0.00207637,0.00195956,0.00121479,0.00899298,0.00092116,0.02645136
INS,repeats,2,1,3e-06,0.02385702,0.00028469,0.00119266,0.0030338,0.00012445,0.00121599,0.00310324,0.00030865,4.87e-06
INS,repeats,2,2,0.00025588,0.00924185,0.00087809,0.00026474,0.00127781,0.00042044,0.00045796,0.00090803,9.24e-06,0.00101404
INS,repeats,2,3,0.0003136,0.00135853,0.00041672,0.0003954,0.00089477,0.00035294,0.00090611,0.00170338,0.00025022,0.00091712
INS,repeats,2,4,0.00200828,1.464e-05,0.00168849,0.00046116,0.00024723,6.951e-05,0.00268942,0.00557009,8.474e-05,0.00338464
INS,repeats,2,5+,0.01006217,0.00026067,0.01155987,0.00518744,1.303e-05,5.142e-05,0.0287519,0.05766518,2.366e-05,0.00059066
INS,repeats,3,0,5.068e-05,0.00498184,3.89e-05,0.00036547,0.00015733,0.00097846,0.00048221,0.00048676,0.00010539,0.00854519
INS,repeats,3,1,0.00032893,0.00698092,0.00106155,0.00052654,0.00033996,8.251e-05,0.00088822,0.00426801,0.0004972,0.00316488
INS,repeats,3,2,3.03e-05,0.00164833,0.00014839,0,0.00014595,0.00082532,5.487e-05,0.00035024,0.00112644,0.00037353
INS,repeats,3,3,0.0001204,2.01e-06,6.235e-05,5.44e-05,1.77e-06,0.00029618,0.00017494,0.00035376,6.7e-07,0.00023511
INS,repeats,3,4,9.785e-05,1.295e-05,8.908e-05,0.0001183,2.381e-05,0.00015444,0.00014838,0.00015504,0.0001271,0.00095948
INS,repeats,3,5+,0.00093113,2.042e-05,0.00185984,0.00030581,8.51e-06,4.8e-07,0.00105526,0.00273223,0,0.00218513
INS,repeats,4,0,3.9e-07,0.0030883,3.453e-05,0.00058249,3.043e-05,0.00171232,1.266e-05,0.00109225,0.00053474,0.0051936
INS,repeats,4,1,0.00044791,0.00402015,0.00126042,0.00084818,3.542e-05,0.00072911,0.00197116,0.00615037,0.00149267,0.00192841
INS,repeats,4,2,4.123e-05,0.00038288,0,0.00014351,0.0001219,0.00042162,4.649e-05,0.00012712,2.823e-05,8.501e-05
INS,repeats,4,3,3.938e-05,3.01e-06,0.00028254,6.94e-06,4e-06,0.00040085,2.595e-05,0.00010489,7.199e-05,0.00070204
INS,repeats,4,4,0.00036892,4.8e-06,0.00011059,0.00022645,6.2e-07,5.22e-06,0.00050029,0.00059128,0.00028214,0.00129658
INS,repeats,4,5+,0.00060902,0.00071416,0.00214558,0.00114166,1.054e-05,3.226e-05,0.00145099,0.0033182,4.99e-05,0.00020089
INS,repeats,5+,0,3e-08,0.00553768,2e-08,0,4.823e-05,0.00874994,1.517e-05,0.00194922,5.503e-05,0.00269377
INS,repeats,5+,1,0.00160872,0.00378346,2.645e-05,0.01093532,0.00020764,0.00572551,0.00172192,0.01324916,0.00234183,0.0244902
INS,repeats,5+,2,0.00019721,0.00035393,1.804e-05,2.716e-05,5.62e-06,0.00132179,0.00018441,0.00045672,4.333e-05,0.00050715
INS,repeats,5+,3,0.00020584,0.00020754,6.249e-05,9.985e-05,6.855e-05,6.963e-05,0.00029605,0.0004439,1.248e-05,0.00010839
INS,repeats,5+,4,0.0001752,0.00019502,2.003e-05,5.135e-05,1.484e-05,2.339e-05,0.00029347,0.00026667,0,5.87e-06
INS,repeats,5+,5+,0.00018687,0.00076073,5.713e-05,0.00037553,5.6e-05,6.11e-06,0.00010138,0.00037011,9.3e-07,0
DEL,MH,2,1,1.038e-05,0.02284859,0,1.791e-05,0.00989343,0,0.00027304,0.00789686,0.21062137,0.00142212
DEL,MH,3,1,3.93e-06,0.01691724,9.31e-06,0.01084474,0.00081501,0.00086484,0.00158853,0.00241189,0.00634275,0.00115167
DEL,MH,3,2,0.00130994,0.00865822,0.00192413,0.00330289,0.00056719,0.00391778,0.00235949,0.00552425,0.04332686,0.0032326
DEL,MH,4,1,4.224e-05,0.01053803,1.61e-05,0.00532076,0.0002129,0.00252667,0.00173707,0.0016984,0.01280192,0
DEL,MH,4,2,3.071e-05,0.00567884,0.00049066,0.00077654,0.00029063,0.00956861,0.00124814,0.0005905,0.03121347,0.00057772
DEL,MH,4,3,1.4e-07,0.00157313,0.00039901,4.77e-05,2.539e-05,0.00492959,0.00103456,0.00022194,0.04964349,0.00138242
DEL,MH,5+,1,0,0.00142522,4.896e-05,0.3415662,0.00031447,0.06520697,0.00029906,0.00147586,0.00011477,0.00147829
DEL,MH,5+,2,2e-08,0.0018225,0,0.11487003,0.0011907,0.26898443,0.00013371,0.00257976,4.52e-06,0.0011723
DEL,MH,5+,3,1e-08,0.0038354,1.02e-06,0.02101806,0.00058546,0.23918111,0.00013813,0.00740612,0.00037417,4.551e-05
DEL,MH,5+,4,0,0.00039143,0.00016538,0.00011025,0.0010612,0.13855207,3.964e-05,0,0.00338204,3.67e-06
DEL,MH,5+,5+,0.00025771,0.00014559,0.00209382,0.00085482,0,0.112417,0.00032252,0.00575702,0.00052668,0.00030645
