Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12,low confidence hdp.13
DEL,C,1,0,0.00277704213505452,0.0686657784330168,0.0353313037144753,0.0185919303534071,0.0209052759231254,0.00345719416064045,0.0140832484660053,0.00917030951456512,0.0206210038114372,0.00187794031778038,0.0228908969002374,0.0159565180102387,0.0117265980565009
DEL,C,1,1,0.00438999824982146,0.316102734252434,0.022937330814955,0.000654669665197617,0.00962856636426334,0.000254510222123276,0.00188221076789093,0.00765172699045517,0.0215948725446821,0.000685819688504043,0.0232386048496548,0.00255997808377403,0.021314253693605
DEL,C,1,2,7.20351889922856e-05,0.136003227578614,0.00243763537673694,1.83920574838126e-05,0.0170792778076408,5.3013983609082e-06,5.95726090817024e-05,0.00199044953783398,0.0258612086882453,6.15438744860968e-06,0.0281693482283066,0.0610279277628358,0.0301775390544918
DEL,C,1,3,0.0101316769015018,0.0566303202401907,0.00614517954870746,0.00470273649417732,0.0153406103083999,0.003255776940259,0.0198149844969377,0.00361809779004442,0.0128035578412693,0.00273576724523274,0.0129557353508797,0.0205649721697249,0.0204122076892588
DEL,C,1,4,0.00617441655118429,0.0409811874415837,0.00196654597892553,0.0301166187816313,0.00818680951481297,0.00303108528804918,0.0205341109922811,0.00311896434429527,0.00376998702449129,0.00218865798153198,0.00350404724824652,0.00457636959444493,0.0014441847645341
DEL,C,1,5+,0.0247826071497098,0.0221639169731088,0.000895461986570512,0.208746098960154,0.0184322108716346,0.00860217971950201,0.00438851553568541,0.00155734141922004,0.00331496171818432,0.00841639310414458,0.00322056147605361,0.00422837546592033,0.00176536781153617
DEL,T,1,0,0.0103367203919241,0.0342640418823497,0.0381956285017378,0.0607652935119014,0.0254391434915661,0.00747104233264286,0.0151371162885697,0.023954574574931,0.0741871540736665,0.00636796047355708,0.0781664522066064,0.230821914004728,0.00732342905043713
DEL,T,1,1,5.86026674617315e-05,0.0205561505899255,0.00833341424919802,2.23957706775678e-05,0.0128820563539588,4.66206983228919e-06,4.39702590841137e-05,0.00746356607524048,0.0943281950689529,5.39692437801157e-06,0.105301851183407,0.128867038477415,0.0849586106669218
DEL,T,1,2,0.00884544711925748,0.00881603709766813,0.00851393961806439,0.055834533039736,0.0203279496596439,0.00673855860897743,0.0495289508696183,0.0153041300081506,0.0702744924784974,0.00261813954256111,0.0752151049078069,0.0057776897508942,0.127835408494722
DEL,T,1,3,0.0179079874908985,0.00927951880381189,0.00829158005556997,0.12448413875844,0.045882274984042,0.0101760054198968,0.00695155612165294,0.0112044754806047,0.0831483555628908,0.00709566155767294,0.0837752816902387,0.0783233593526816,0.00461273524949773
DEL,T,1,4,0.033101420410137,0.0145406668041015,0.00160716888557332,0.00591873926074314,0.466314557164114,0.0415821861061785,0.0164689896201821,0.0209910964959029,0.0481691170929401,0.0209748467660098,0.07101026674445,0.0103842928777819,0.224475059339137
DEL,T,1,5+,0.0131898143032913,0.0133706606992482,0.0132513629343761,0.0125871112589983,0.0155847481794667,0.428774103924677,0.00977274468030785,0.0132172339173683,0.0257513909717537,0.293694186215289,0.0243464142386035,0.00501506432029775,0.0264486266577373
INS,C,1,0,7.14425777482906e-05,0.00231011902139002,0.00254168487965211,2.25208867148726e-05,0.000558790604359417,5.31576529413559e-06,5.38990272643974e-05,0.000857202540690643,0.000580639587311172,6.59624090645858e-06,0.000476430321949574,0.00404759128213007,0.000838264973735883
INS,C,1,1,0.00038315609208968,0.00144082510514099,0.00195258972123973,0.00311970583217773,0.00212661260942912,0.000197710551608775,0.00132619974979504,0.00228271864805368,0.00124262095081923,0.000103488392020467,0.00134227130579997,0.00444618030168129,0.00145557423428595
INS,C,1,2,0.000106604178225329,0.00110506481396805,0.00226687523871909,0.00013962949763221,0.00170686779047178,1.70176324078476e-05,0.000163115477247519,0.000694730660607059,0.00273524886265789,1.11725802913222e-05,0.00308025501672047,0.00570858453388223,0.00326194413692876
INS,C,1,3,0.00784051014082945,0.00683174940030943,0.000112936416258208,0.00562152611412547,0.00101294259483696,0.000785734761672763,0.004004130367563,0.000163823934564169,0.000602881150144913,0.00122235603017771,0.000396083095898168,0.000850240973593786,0.000389519865513141
INS,C,1,4,0.0169047625005087,0.00560487980834702,0.000448585105190209,0.0282963055548831,0.00317810030580437,0.00292168827498919,0.0284998198637773,0.00105527852209629,0.000312645604833395,0.00240494524914901,0.000198782929504345,0.00111123656998723,0.000763094473373698
INS,C,1,5+,0.21996478308914,0.00755638685682868,0.000528332185157961,0.0679522714847852,0.0172591360534952,0.0175698254864425,0.0162023312747687,0.00389819840993886,0.0066970693665902,0.030798984986861,0.00282142018123999,0.000850857984459964,0.000690201866961882
INS,T,1,0,0.0139720611453648,0.0219756386015391,0.00525001494522937,0.00439832917541462,0.00507406582970513,0.0025754380007424,0.00795578010331593,0.0091401136311654,0.0049210721494815,0.00270215482147495,0.00517706740038728,0.00438879829112671,0.00449884055197926
INS,T,1,1,0.000306182476064103,0.0481371561480656,0.00511894507621984,4.19138724971241e-05,0.00843072064998832,2.51349496813249e-05,0.000131910777252341,0.00181197834639681,0.0117166699544583,3.22237414616948e-05,0.0129788108517872,0.0110685579283737,0.0112527961148241
INS,T,1,2,0.00312273202738496,0.0353555905465781,0.00122983123661655,0.00554407928703377,0.0164146015419968,0.000754853038700481,0.00667638740351365,0.0014904147224311,0.0234310230794547,0.000625822301120417,0.0267668396711417,0.0501062184206126,0.0411638215771227
INS,T,1,3,0.0356633446636213,0.0231461052829235,0.00163430682172747,0.00293766199789918,0.00578119839101409,0.0032141846685657,0.0213525251694273,0.000882440890994889,0.0189678828041505,0.00504208449039763,0.0195075095001096,0.0284152014201122,0.0111070109020004
