Type,Subtype,Indel_size,Repeat_MH_size,W.1 (ID9 0.984),W.2 (ID1 1),W.3 (ID6 0.995),W.4 (ID3 0.993),W.5 (False Positive) (ID5 0.48),W.6 (ID13 0.985),W.7 (ID5 0.978),W.8 (ID2 1),W.9 (ID11 0.996),W.10 (False Positive) (ID14 0.888),W.11 (ID8 0.989),W.12 (ID4 0.999)
DEL,C,1,0,0.430167708961902,0,0.026641155872382,0.121751279122322,0.0126364444997098,2.7991273299752e-93,0.000699060343275161,0.00439594962737071,0,0.00844978103641281,0.0204352400684325,0.00191111911629093
DEL,C,1,1,0.115009585809247,0.000659752656862755,0.00294552578917526,0.236288963051962,0,0,0.0214106965169065,4.34953396364568e-276,0,0,0.0177086961024917,1.28476096021283e-304
DEL,C,1,2,0,0,0.00574806024249765,0.204701333923938,0,9.75756607405932e-62,0.0250055868905091,0,0,0,0,0
DEL,C,1,3,0.0103940241764096,0.00151166599271069,0,0.0742508351915596,0.0146322146209084,0.00190615281013946,0.0130637614828163,0.00253310967855484,0,0,0.00483710232733453,0.000229294744902189
DEL,C,1,4,0.00941702427242856,0.000651164178490157,0.00191296828340037,0.047901100840676,0.0193602014655967,0.000983069089257091,0,0.00374667711355255,0,0.00114725824111067,0,0.00179721021718382
DEL,C,1,5+,0,0.00284784198356996,1.66884194995996e-308,0.0247864544113454,0.0259029823642415,0,2.04572022330831e-306,0.0151333415964087,0,0.00107548215116284,0,0.00205828541628165
DEL,T,1,0,0.106858905706075,0.000934702501280549,4.76140119268498e-295,0.0333842606463589,0.084732435354303,0.0376495834522723,0.119667420408928,0.00734501554855658,0,0.0183081955968175,0.0371116603756029,0.00484799477279812
DEL,T,1,1,0,0,0,3.46027765605333e-71,0,0.717810891458121,0.102861401486893,0,0,0,0,0
DEL,T,1,2,0.0976738245850641,0.000480772532456561,0.0111929993844056,0.013683943661916,0.0381521395475277,5.73345517614255e-138,0.144267183897726,0.00718996640764952,0,0.0112858079161732,0.00285638204463642,0
DEL,T,1,3,0.112688215766608,0.000676016463660923,0.0174855574250893,0.0108966710443361,0.20545419488028,0.0512945194718051,0.0938743800904116,0.0191684327817726,1.39956587076656e-303,0.0169669374664877,0.00189428579074336,0
DEL,T,1,4,0.0629317599999386,1.82208752995363e-59,0.00581969748075379,0.00649052113745778,0.445271296647533,6.50850302863203e-187,0.030590628975069,0.0445750726334018,0,0,2.3340019515199e-294,8.19318918376687e-202
DEL,T,1,5+,1.57399043450206e-235,4.91032022743731e-21,5.51679367580896e-128,0.0017671068883896,1.35016241034383e-170,7.89691470950563e-160,0.0117829465601496,0.815909885988747,0,3.45595487467225e-199,1.0074401167775e-105,3.48415863371717e-278
INS,C,1,0,0,0,0,0,0,0,0,0,0,0.718935128582504,0,0
INS,C,1,1,0,0,0.00134002949952549,0,9.22590207245651e-219,0,0,0.000226649362300393,0.186043657785429,0.0163329576298199,0,0
INS,C,1,2,0,0,0,0.00111182974609239,0,0.000590796926734901,0.00349706904682905,2.23632474387369e-05,0.10335910480114,0,9.7255651776345e-05,0
INS,C,1,3,0,0.000786446679891855,0,0.00656296575026367,0.000123263084148718,0,1.46542431576607e-195,0.000505926729525911,0.0386797076589915,0.00228547384156788,0,0
INS,C,1,4,0,0.00176914707582235,7.32717876591472e-05,0.0075152863374248,7.57264024754779e-06,0,0,0.00301314078450264,0.00918265290583594,0.000873854414706191,0.000621263124675134,0
