Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID5 0.994),hdp.2 (ID6 0.998),hdp.3 (ID13 0.998),hdp.4 (ID2 1),hdp.5 (ID4 0.994),hdp.6 (ID1 1),hdp.7 (ID3 0.969),hdp.8 (ID9 1),hdp.9 (ID14 0.977),hdp.10 (False Positive) (ID8 0.953),hdp.11 (ID8 0.979),hdp.12 (False Positive) (ID5 0.908),hdp.13 (ID11 0.977),hdp.14 (False Positive) (ID5 0.124)
DEL,C,1,0,0.0232230932082122,0.0299086156133289,0.0463025601834363,0.00423793561612355,0.0117406652828577,0.00048779071141982,0.0833209260474103,0.334324703866588,0.0105120939120513,0.0359477020557404,0.0338996361278057,0.0163334984327366,0.00813365230836705,0.00345048187255394
DEL,C,1,1,0.0259830612544504,0.00611989128139146,0.0145934398042279,4.72893373843601e-05,0.0023867083288109,0.000579516072795182,0.281482653363435,0.097464295274808,0.00248150408399194,0.0228963354814622,0.0193904318626024,0.0345314006379679,0.00925399856561372,0.00439873742949181
DEL,C,1,2,0.0281143303041658,0.00825066702697383,0.00711311866899864,4.39659207670595e-06,0.00322844724706267,7.01714441660623e-06,0.155243592820142,0.00242684851041039,0.000360513125816709,0.00252180517598068,0.00271180807894162,0.0219235098540802,0.00296947103037481,0.000128046954483832
DEL,C,1,3,0.0126416549785011,0.000890570322310881,0.00480124554037743,0.00238331812796151,0.00174816975834387,0.00187453183798147,0.0596175947442854,0.0109858774399121,0.000830277444484636,0.00602654957587271,0.00560927735922255,0.0127555217064955,0.00233362249623133,0.0138231703029412
DEL,C,1,4,0.00305744127937799,0.0025889960079857,0.00406924486750937,0.00349120149548821,0.0024308889184742,0.000818433972266114,0.0413817650761156,0.0130674688043231,0.00181082929866342,0.00191059399544234,0.00102419238081654,0.00140524724683222,0.00335886090070145,0.00566789714348094
DEL,C,1,5+,0.00219810915885757,0.001851411661775,0.00141450606069207,0.0140471170402425,0.00232450630961827,0.00267297664571913,0.0231046082548508,0.000651796285379866,0.00341728034075326,0.000831875714919075,0.000573464776254574,0.00163836825181903,0.000761244510951088,0.0191733103727376
DEL,T,1,0,0.0888079691988738,0.003094612231001,0.0396155534129804,0.00685387684179521,0.00794579554811176,0.00135880588345465,0.0324606949166647,0.105695013340031,0.0200474621332625,0.0381945225430593,0.0282479453679474,0.0662158651079211,0.0153067287750582,0.0100758791303625
DEL,T,1,1,0.109897568520167,0.000905972341421061,0.514601717761309,4.25521566888009e-06,0.00339168769381861,8.11136935468569e-06,0.0171645709531978,0.0389796408226854,0.000593255584991599,0.00807457675625335,0.0111480902565167,0.0927451397577496,0.00961193279341441,0.000102378555773939
DEL,T,1,2,0.109775284967961,0.00961459273660425,0.0190808128053017,0.00700167516584323,0.00565752946788397,0.000328803023538547,0.00806289244659242,0.084585265749626,0.00820169205802116,0.00816748658232438,0.00915492579106228,0.209685094220942,0.0186005005196692,0.0118345086542334
DEL,T,1,3,0.108626084057864,0.0210412154139181,0.055629799046708,0.0177309353231263,0.00641978887174146,0.00206458978402396,0.0104845206643314,0.106324495715886,0.0159912862977207,0.00801890185188185,0.0105441167361144,0.0543313151321717,0.00625035516698445,0.0108691408314889
DEL,T,1,4,0.0497192319195024,0.0169963338190252,0.0145931557566811,0.0460574904699047,0.00413906841112283,0.00405054413420474,0.0142090972173677,0.0954308679780675,0.0104175149488623,0.00141158451890038,0.001811561298597,0.031209008473325,0.00665698838738955,0.0331108574867884
DEL,T,1,5+,0.0253686237143813,0.00318061888500688,0.00661896723842259,0.808734910297553,0.00206892691223271,0.0012762640776019,0.0122003338521667,0.00422431705761753,0.0455459737978854,0.0133396443784562,0.00875460109768036,0.0268941128082243,0.00867975908435476,0.013064133133428
INS,C,1,0,0.000497933564956218,0.00222072279581306,0.00281846178392856,3.53226812886145e-06,0.00040413852792006,6.5267817807096e-06,0.00241463458142424,0.000201114350858371,0.534015119100243,0.0025669792881665,0.00266102957503287,0.000480234412963054,0.000703429893174976,0.000142012136923697
INS,C,1,1,0.00122341547963082,0.00177972462264822,0.00234979347612985,0.0001885971990731,0.000430039588389335,5.49735082687895e-05,0.00137655096593979,0.000212614689217724,0.0152773115702568,0.00186698169122103,0.00222061444039159,0.00112948476872294,0.121344799891708,0.000451999848546613
INS,C,1,2,0.00287764193574546,0.000149753590862136,0.00202866757982543,1.28856027466137e-05,0.000267254611629919,8.61495525267392e-06,0.00136072747866564,0.000396258646549577,0.000681331124544399,0.00225151774309094,0.0009025044192465,0.0023370241468734,0.0664395259434846,0.000179187059193196
INS,C,1,3,0.00054334024243611,9.14223820251209e-05,0.000386791602410208,0.000357473460287884,0.000870479075032746,0.0008340958242751,0.00661907933614925,0.000216681073917862,0.000841977282792871,0.00010813153778582,0.000261004286211147,0.00035078861440383,0.026576380665274,0.00633212842657142
INS,C,1,4,0.000147144233088604,0.000445379686182471,0.000325305453065678,0.00256610068674608,0.000101008062896884,0.00143129580624077,0.00627157879552884,0.000362281743277314,0.000744910786414013,0.000442689734791164,0.00022932793858066,0.000323739492341049,0.00787163421537784,0.0191031894214726
INS,C,1,5+,0.000200217849559403,0.000323105076707523,0.000965325443520463,0.008288261525962,0.000888895245225729,0.0212080297311384,0.0079011761601788,0.000800704280962098,0.00210100636949738,0.000460940407406836,0.000919336689033908,0.000302890169050513,0.00128058817067118,0.188505376349373
INS,T,1,0,0.00496943637391693,0.00693181307434959,0.0386434514065558,0.00116208622546042,0.00372569902460645,0.00234825740628987,0.0211453364199403,0.0137085961011046,0.0392153388548278,0.00508890278293237,0.00447808187602232,0.00670664660712727,0.00418252274657199,0.0117928097996242
INS,T,1,1,0.0138731023704168,0.00130997972067484,0.00482295488860335,1.1742810116688e-05,0.00125611033876052,1.63957430550697e-05,0.0471078525626856,0.0106011492530901,0.00356162050813431,0.00514758298444772,0.00331901904536421,0.0122816799431881,0.208176989696806,0.0002021017599572
INS,T,1,2,0.0281832652600228,0.000689728734486891,0.00672340543467766,0.000536444211228113,0.000286475445483437,0.0001126930472986,0.0372646144585451,0.00244288512681301,0.00171169688488959,0.00121490320227781,0.00206382488880649,0.0380608503678281,0.133221830826615,0.00394545907832746
INS,T,1,3,0.0213610669573281,0.000823012729462978,0.0118921070551669,0.00114333350178904,0.000674110777195935,0.00324327720677498,0.0232812484065986,0.0018290839352165,0.000482792246730069,0.0016370468800206,0.000781502322659311,0.0187610839259617,0.0847787492953633,0.0355847600521039
INS,T,1,4,0.0109027722169,0.000958083432793123,0.0119767227904717,0.00367428394362271,0.00134395531875772,0.0144828813880388,0.00896691390762836,0.00396286960635637,0.00468285501267346,0.00212309453364491,0.00059470209554492,0.0111368171021649,0.0428357820798889,0.0985979251869441
INS,T,1,5+,0.000972186362693376,0.0150221100525235,0.0276464288943877,0.0188907295371265,0.00403356637759352,0.903742671881649,0.0201295092047807,0.00443179906570263,0.140847196464718,0.0164424598650553,0.0108878453208223,0.00117746892558002,0.0110534364458725,0.013548587279194
DEL,repeats,2,0,0.0283306369764658,0.00108914701634996,0.0230945060882853,0.000167597447343995,0.0854280436429529,0.000562942917640383,0.00767180953623287,0.0148774678406803,0.000780653265425926,0.00691911691165537,0.00935207931339396,0.0249024560231417,0.0126157109057162,0.00501763104283033
DEL,repeats,2,1,0.0274366073948454,0.0014573535049741,0.00534991381084418,0.00301996072616942,0.200180536160757,0.000863021710100464,0.0112997814812146,0.00398214125769821,0.00633776024999118,0.00926143249050169,0.0100379524613018,0.0181391255415253,0.00662950679820199,0.0123364684512268
DEL,repeats,2,2,0.00508729025025416,0.00218659740762333,0.00291365829035474,0.0017248767871136,0.0468354635437336,0.000658161424084941,0.0122011225618127,0.000481285244561051,0.00220457628951244,0.000294288398465675,0.000798457068336513,0.00390775173697219,0.00183933557959401,0.00348028081818267
DEL,repeats,2,3,0.000313177084049817,0.000604259575732757,9.62616847269845e-05,0.000912129523324111,0.0118798417314637,0.000225548079557823,0.00652540774209096,0.000155516623754159,0.000230212764405542,0.000101399198908467,0.000124374266086195,0.000208714654290078,0.000427558744198247,0.00190732921294887
DEL,repeats,2,4,0.000765144012499745,0.000188468076442575,0.000181394792349374,0.000821267334427783,0.00318329498807344,5.46903100723279e-05,0.00272904628767463,0.000231627296793479,0.000394990757443948,0.0004657559819641,0.000193618051646278,0.000965718655531638,0.000362783920010254,0.0012965000007376
DEL,repeats,2,5+,0.0212874373449909,0.00016490354323357,0.00114462031293397,3.1059968385986e-06,0.00192691136731501,5.37305216321796e-06,0.000666108428659626,0.000205686774543415,3.38768291195189e-05,0.000512213852969245,0.000765735593113114,0.0252092889213653,0.0120217358714377,0.000140340248885121
DEL,repeats,3,0,0.0174757662544937,0.00104883487246952,0.00494873722909549,1.54164546533753e-05,0.00503203252165088,4.48995864320097e-05,0.00150809294659736,0.00213427966157751,0.00154248138560995,0.0128763435112848,0.0114923414050211,0.0180892200184588,0.00654519849150324,0.000423774444601252
